squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Augsburg,28.0,38.1,34.0,374.0,3060.0,45.0,29.0,3.0,5.0,68.0,2.0,1.32,0.85,2.18,1.24,2.09,42.1,38.2,26.2,1.24,0.77,2.01,1.12,1.9,34.0,34.0,3060.0,63.0,1.85,157.0,95.0,59.9,9.0,9.0,16.0,7.0,20.6,1.0,0.0,1.0,0.0,34.0,0.0,4.0,3.0,59.0,0.38,-1.0,-0.03,233.0,684.0,34.1,956.0,153.0,50.5,43.2,303.0,66.3,53.0,343.0,27.0,7.9,27.0,0.79,14.8,358.0,128.0,24.0,35.8,10.53,3.76,0.12,0.33,0.11,2.9,3.8,8618.0,12212.0,70.6,182208.0,70959.0,3135.0,3850.0,81.4,3674.0,4547.0,80.8,1620.0,3209.0,50.5,2.8,241.0,567.0,170.0,45.0,761.0,10465.0,1747.0,443.0,36.0,2242.0,420.0,285.0,133.0,39.0,55.0,24.0,6265.0,2321.0,3626.0,2948.0,7139.0,710.0,772.0,226.0,71.0,325.0,213.0,437.0,524.0,15.41,336.0,60.0,41.0,30.0,43.0,67.0,1.97,42.0,3.0,7.0,4.0,8.0,3.0,549.0,331.0,276.0,212.0,61.0,190.0,632.0,30.1,442.0,5650.0,1440.0,25.5,1794.0,2622.0,1234.0,574.0,137.0,7.0,437.0,283.0,971.0,7.0,16354.0,2512.0,6702.0,7045.0,3534.0,568.0,14630.0,251.0,488.0,51.4,284.0,19.0,9156.0,48259.0,24857.0,821.0,272.0,89.0,11083.0,8618.0,77.8,424.0,390.0,2.0,378.0,384.0,81.0,4.0,1.0,3.0,3134.0,554.0,629.0,46.8
Bayern Munich,29.0,65.6,34.0,374.0,3060.0,97.0,75.0,6.0,6.0,54.0,3.0,2.85,2.21,5.06,2.68,4.88,82.3,77.8,64.2,2.42,1.89,4.31,2.29,4.18,34.0,34.0,3060.0,32.0,0.94,114.0,86.0,74.6,26.0,4.0,4.0,15.0,44.1,4.0,3.0,1.0,0.0,34.0,0.0,6.0,1.0,34.0,0.28,3.0,0.09,225.0,383.0,58.7,1309.0,207.0,26.1,30.0,189.0,22.2,28.8,205.0,14.0,6.8,55.0,1.62,19.0,611.0,241.0,13.0,39.4,17.97,7.09,0.15,0.38,0.13,14.7,13.2,20739.0,24240.0,85.6,413561.0,128617.0,7694.0,8577.0,89.7,9583.0,10575.0,90.6,3186.0,4363.0,73.0,10.8,474.0,1780.0,510.0,128.0,1966.0,22533.0,1707.0,444.0,67.0,3599.0,703.0,648.0,239.0,72.0,84.0,35.0,17276.0,3477.0,3487.0,6844.0,15299.0,707.0,769.0,323.0,68.0,316.0,352.0,488.0,1013.0,29.79,777.0,70.0,60.0,46.0,35.0,168.0,4.94,129.0,7.0,12.0,7.0,9.0,4.0,552.0,368.0,193.0,256.0,103.0,186.0,555.0,33.5,369.0,4904.0,1702.0,34.7,1119.0,2168.0,1617.0,462.0,89.0,1.0,373.0,220.0,565.0,3.0,28044.0,2149.0,7737.0,14375.0,7803.0,1317.0,26379.0,522.0,835.0,62.5,566.0,28.0,20156.0,102447.0,54630.0,2277.0,605.0,235.0,23353.0,20739.0,88.8,444.0,377.0,2.0,322.0,355.0,78.0,6.0,3.0,1.0,3427.0,470.0,386.0,54.9
Dortmund,27.0,61.0,34.0,374.0,3060.0,84.0,74.0,2.0,2.0,49.0,1.0,2.47,2.18,4.65,2.41,4.59,59.2,57.9,47.1,1.74,1.39,3.13,1.7,3.09,34.0,34.0,3060.0,41.0,1.21,100.0,65.0,62.0,21.0,6.0,7.0,15.0,44.1,3.0,3.0,0.0,0.0,34.0,0.0,8.0,3.0,37.4,0.36,-0.6,-0.02,125.0,344.0,36.3,918.0,195.0,29.0,32.7,229.0,34.1,34.9,242.0,17.0,7.0,31.0,0.91,15.0,443.0,186.0,14.0,42.0,13.03,5.47,0.19,0.44,0.13,24.8,24.1,20781.0,24010.0,86.6,385238.0,111587.0,8997.0,9861.0,91.2,8870.0,9720.0,91.3,2559.0,3620.0,70.7,26.9,347.0,1275.0,329.0,54.0,1465.0,22415.0,1595.0,410.0,51.0,3544.0,632.0,366.0,188.0,48.0,77.0,18.0,17836.0,3349.0,2825.0,6454.0,15710.0,625.0,693.0,291.0,44.0,292.0,363.0,469.0,732.0,21.53,556.0,58.0,49.0,40.0,23.0,153.0,4.5,128.0,5.0,12.0,6.0,1.0,1.0,596.0,401.0,276.0,250.0,70.0,221.0,551.0,40.1,330.0,5195.0,1676.0,32.3,1475.0,2388.0,1332.0,519.0,106.0,4.0,413.0,286.0,604.0,11.0,27902.0,2183.0,8548.0,14302.0,6858.0,980.0,26351.0,503.0,828.0,60.7,545.0,40.0,20139.0,99016.0,51936.0,2119.0,595.0,189.0,23240.0,20781.0,89.4,437.0,419.0,1.0,305.0,328.0,56.0,1.0,3.0,3.0,3135.0,378.0,364.0,50.9
Düsseldorf,28.0,45.4,34.0,374.0,3060.0,36.0,26.0,4.0,4.0,78.0,0.0,1.06,0.76,1.82,0.94,1.71,33.0,30.0,21.8,0.97,0.64,1.61,0.88,1.52,34.0,34.0,3060.0,67.0,1.97,171.0,111.0,62.6,6.0,12.0,16.0,4.0,11.8,5.0,3.0,2.0,0.0,34.0,1.0,9.0,4.0,56.3,0.31,-6.7,-0.2,296.0,657.0,45.1,996.0,157.0,49.9,42.2,254.0,63.0,52.2,250.0,13.0,5.2,25.0,0.74,14.6,424.0,114.0,20.0,26.9,12.47,3.35,0.08,0.28,0.07,3.0,2.0,11476.0,15049.0,76.3,251262.0,89850.0,3859.0,4602.0,83.9,5067.0,5988.0,84.6,2359.0,3882.0,60.8,4.2,291.0,870.0,222.0,79.0,1064.0,13318.0,1731.0,496.0,23.0,2672.0,651.0,441.0,149.0,29.0,79.0,18.0,8553.0,2649.0,3847.0,4089.0,8777.0,770.0,731.0,262.0,52.0,348.0,220.0,419.0,631.0,18.56,416.0,70.0,50.0,28.0,49.0,56.0,1.65,40.0,6.0,3.0,3.0,4.0,0.0,555.0,347.0,283.0,211.0,61.0,203.0,591.0,34.3,388.0,5503.0,1614.0,29.3,1787.0,2600.0,1116.0,558.0,118.0,4.0,440.0,302.0,759.0,10.0,18883.0,2196.0,6989.0,8308.0,4639.0,627.0,17184.0,294.0,490.0,60.0,315.0,10.0,11508.0,55487.0,30639.0,1069.0,352.0,94.0,13976.0,11476.0,82.1,411.0,362.0,0.0,407.0,430.0,56.0,3.0,5.0,4.0,3089.0,565.0,639.0,46.9
Eint Frankfurt,27.0,51.0,34.0,374.0,3060.0,57.0,45.0,2.0,2.0,71.0,4.0,1.68,1.32,3.0,1.62,2.94,52.5,51.0,38.3,1.54,1.13,2.67,1.5,2.63,34.0,34.0,3060.0,60.0,1.76,172.0,117.0,66.9,13.0,6.0,15.0,5.0,14.7,3.0,3.0,0.0,0.0,34.0,1.0,5.0,2.0,54.4,0.3,-3.6,-0.11,296.0,642.0,46.1,1155.0,142.0,45.5,38.0,231.0,50.6,42.6,268.0,24.0,9.0,28.0,0.82,14.9,492.0,173.0,17.0,35.2,14.47,5.09,0.11,0.32,0.11,4.5,4.0,12408.0,16463.0,75.4,256791.0,97578.0,4513.0,5397.0,83.6,5536.0,6710.0,82.5,2150.0,3670.0,58.6,6.7,361.0,1015.0,279.0,118.0,1240.0,14655.0,1808.0,458.0,25.0,3002.0,484.0,561.0,214.0,56.0,112.0,18.0,9227.0,3028.0,4208.0,4907.0,9105.0,863.0,811.0,244.0,47.0,332.0,255.0,532.0,755.0,22.21,517.0,84.0,51.0,52.0,39.0,94.0,2.76,57.0,15.0,7.0,12.0,2.0,1.0,679.0,444.0,311.0,289.0,79.0,207.0,630.0,32.9,423.0,5909.0,1837.0,31.1,1890.0,2636.0,1383.0,584.0,110.0,6.0,474.0,251.0,761.0,5.0,20519.0,2148.0,6655.0,10030.0,5131.0,844.0,18764.0,346.0,569.0,60.8,367.0,19.0,12398.0,67627.0,37610.0,1447.0,429.0,146.0,15261.0,12408.0,81.3,411.0,361.0,2.0,424.0,369.0,57.0,1.0,3.0,2.0,3584.0,701.0,635.0,52.5
Freiburg,26.0,47.9,34.0,374.0,3060.0,46.0,27.0,5.0,6.0,43.0,2.0,1.35,0.79,2.15,1.21,2.0,41.7,37.2,27.7,1.23,0.81,2.04,1.09,1.91,34.0,34.0,3060.0,47.0,1.38,188.0,140.0,76.6,13.0,9.0,12.0,7.0,20.6,4.0,3.0,0.0,1.0,34.0,0.0,6.0,0.0,48.6,0.25,1.6,0.05,262.0,692.0,37.9,1088.0,167.0,41.1,38.4,367.0,66.8,55.5,315.0,18.0,5.7,13.0,0.38,13.0,435.0,140.0,26.0,32.2,12.79,4.12,0.09,0.29,0.09,4.3,3.8,12120.0,15509.0,78.1,259581.0,89102.0,3971.0,4675.0,84.9,5747.0,6619.0,86.8,2192.0,3605.0,60.8,-0.7,301.0,829.0,244.0,97.0,968.0,13684.0,1825.0,461.0,25.0,2825.0,483.0,387.0,151.0,87.0,32.0,13.0,9266.0,2630.0,3613.0,4574.0,8789.0,688.0,765.0,281.0,50.0,292.0,220.0,448.0,671.0,19.74,449.0,83.0,40.0,37.0,53.0,72.0,2.12,36.0,9.0,7.0,5.0,13.0,2.0,514.0,309.0,264.0,190.0,60.0,141.0,507.0,27.8,366.0,4807.0,1268.0,26.4,1675.0,2068.0,1064.0,564.0,170.0,3.0,394.0,255.0,1027.0,12.0,19701.0,2789.0,7783.0,8685.0,4537.0,731.0,17914.0,277.0,484.0,57.2,295.0,16.0,12251.0,68146.0,36756.0,1221.0,396.0,118.0,14313.0,12120.0,84.7,410.0,387.0,1.0,329.0,437.0,56.0,5.0,4.0,0.0,2933.0,626.0,661.0,48.6
Hertha BSC,32.0,44.7,34.0,374.0,3060.0,46.0,35.0,3.0,3.0,77.0,4.0,1.35,1.03,2.38,1.26,2.29,40.6,38.3,29.3,1.19,0.86,2.06,1.13,1.99,34.0,34.0,3058.0,59.0,1.74,162.0,112.0,67.9,11.0,8.0,15.0,9.0,26.5,7.0,7.0,0.0,0.0,34.0,3.0,9.0,2.0,49.6,0.27,-7.4,-0.22,341.0,739.0,46.1,936.0,146.0,57.2,42.9,270.0,75.6,53.5,338.0,31.0,9.2,22.0,0.65,13.5,359.0,120.0,12.0,33.4,10.56,3.53,0.12,0.36,0.11,5.4,4.7,11480.0,14845.0,77.3,248991.0,86426.0,3900.0,4553.0,85.7,5056.0,5980.0,84.5,2324.0,3712.0,62.6,5.7,267.0,823.0,186.0,74.0,927.0,13188.0,1657.0,428.0,23.0,2503.0,560.0,382.0,125.0,31.0,73.0,9.0,8715.0,2520.0,3610.0,4366.0,8365.0,650.0,741.0,258.0,49.0,283.0,200.0,426.0,564.0,16.59,390.0,57.0,46.0,29.0,31.0,77.0,2.26,49.0,7.0,11.0,6.0,4.0,0.0,613.0,356.0,313.0,230.0,70.0,190.0,580.0,32.8,390.0,5758.0,1570.0,27.3,2030.0,2530.0,1198.0,651.0,142.0,4.0,509.0,304.0,986.0,17.0,19063.0,2390.0,7281.0,8959.0,4052.0,568.0,17473.0,391.0,596.0,65.6,414.0,18.0,11846.0,63789.0,34220.0,1171.0,340.0,104.0,13820.0,11480.0,83.1,444.0,400.0,2.0,464.0,350.0,57.0,3.0,7.0,2.0,2953.0,629.0,554.0,53.2
Hoffenheim,31.0,51.9,34.0,374.0,3060.0,52.0,36.0,3.0,4.0,66.0,2.0,1.53,1.06,2.59,1.44,2.5,49.9,46.9,33.6,1.47,0.99,2.46,1.38,2.37,34.0,34.0,3060.0,53.0,1.56,163.0,117.0,71.2,15.0,7.0,12.0,8.0,23.5,8.0,6.0,2.0,0.0,34.0,0.0,4.0,2.0,48.4,0.26,-2.6,-0.08,183.0,490.0,37.3,1171.0,204.0,32.1,32.8,294.0,38.8,36.7,355.0,19.0,5.4,41.0,1.21,15.4,444.0,154.0,24.0,34.7,13.06,4.53,0.11,0.32,0.11,2.1,2.1,14589.0,17961.0,81.2,285819.0,98104.0,5622.0,6348.0,88.6,6728.0,7601.0,88.5,2012.0,3372.0,59.7,2.4,334.0,894.0,276.0,86.0,1162.0,16235.0,1726.0,473.0,39.0,3394.0,413.0,362.0,174.0,43.0,97.0,20.0,11735.0,2799.0,3427.0,4186.0,11702.0,678.0,698.0,318.0,51.0,299.0,215.0,432.0,709.0,20.85,481.0,76.0,49.0,43.0,49.0,81.0,2.38,53.0,7.0,7.0,10.0,3.0,1.0,590.0,353.0,335.0,200.0,55.0,225.0,585.0,38.5,360.0,4665.0,1377.0,29.5,1663.0,1976.0,1026.0,595.0,141.0,5.0,454.0,263.0,860.0,4.0,22069.0,2697.0,8705.0,10201.0,4512.0,780.0,20392.0,312.0,539.0,57.9,333.0,15.0,13904.0,69066.0,37449.0,1292.0,399.0,135.0,16823.0,14589.0,86.7,417.0,410.0,1.0,383.0,415.0,61.0,3.0,8.0,2.0,3038.0,557.0,541.0,50.7
Köln,29.0,46.7,34.0,374.0,3060.0,50.0,38.0,2.0,4.0,79.0,4.0,1.47,1.12,2.59,1.41,2.53,47.2,44.5,31.9,1.39,0.94,2.33,1.31,2.25,34.0,34.0,3060.0,69.0,2.03,152.0,87.0,57.2,10.0,6.0,18.0,6.0,17.6,6.0,4.0,2.0,0.0,34.0,1.0,11.0,2.0,53.1,0.32,-13.9,-0.41,311.0,630.0,49.4,892.0,99.0,53.9,42.2,298.0,50.0,40.7,270.0,18.0,6.7,14.0,0.41,14.1,413.0,147.0,20.0,35.6,12.15,4.32,0.12,0.33,0.11,2.8,3.5,11292.0,14923.0,75.7,246594.0,93043.0,3709.0,4439.0,83.6,5144.0,6148.0,83.7,2286.0,3818.0,59.9,6.1,294.0,824.0,264.0,86.0,1061.0,13131.0,1792.0,479.0,26.0,2897.0,456.0,429.0,175.0,74.0,67.0,18.0,8449.0,2464.0,4010.0,5176.0,7611.0,742.0,737.0,183.0,65.0,321.0,237.0,412.0,639.0,18.79,438.0,73.0,41.0,34.0,41.0,79.0,2.32,49.0,7.0,8.0,8.0,7.0,0.0,670.0,421.0,348.0,254.0,68.0,213.0,586.0,36.3,373.0,6341.0,1829.0,28.8,2141.0,2855.0,1345.0,593.0,113.0,2.0,480.0,272.0,947.0,4.0,19173.0,2370.0,7267.0,8595.0,4453.0,682.0,17442.0,290.0,494.0,58.7,314.0,12.0,11330.0,60209.0,30839.0,1117.0,343.0,80.0,13813.0,11292.0,81.7,489.0,350.0,1.0,486.0,436.0,75.0,3.0,5.0,2.0,3192.0,657.0,673.0,49.4
Leverkusen,24.0,63.8,34.0,374.0,3060.0,57.0,48.0,2.0,2.0,61.0,6.0,1.68,1.41,3.09,1.62,3.03,56.6,55.1,45.0,1.67,1.32,2.99,1.62,2.95,34.0,34.0,3060.0,44.0,1.29,137.0,92.0,69.3,19.0,6.0,9.0,10.0,29.4,2.0,2.0,0.0,0.0,34.0,1.0,6.0,0.0,48.7,0.35,4.7,0.14,261.0,604.0,43.2,1362.0,205.0,37.0,35.7,234.0,42.7,38.9,218.0,21.0,9.6,29.0,0.85,15.8,490.0,183.0,4.0,37.3,14.41,5.38,0.11,0.3,0.11,0.4,-0.1,19160.0,22816.0,84.0,375504.0,114250.0,7282.0,8112.0,89.8,8742.0,9752.0,89.6,2820.0,4155.0,67.9,3.0,383.0,1164.0,263.0,64.0,1371.0,21030.0,1786.0,476.0,55.0,3927.0,549.0,426.0,215.0,100.0,66.0,31.0,16081.0,3373.0,3362.0,7615.0,13160.0,610.0,784.0,312.0,79.0,291.0,344.0,519.0,780.0,22.94,568.0,81.0,55.0,41.0,25.0,103.0,3.03,76.0,8.0,9.0,4.0,5.0,1.0,614.0,382.0,274.0,263.0,77.0,219.0,605.0,36.2,386.0,5211.0,1775.0,34.1,1533.0,2440.0,1238.0,553.0,93.0,2.0,460.0,246.0,750.0,9.0,26975.0,2466.0,8622.0,14296.0,5839.0,922.0,25265.0,472.0,758.0,62.3,505.0,34.0,18799.0,92899.0,46756.0,1778.0,524.0,180.0,21880.0,19160.0,87.6,460.0,450.0,3.0,393.0,371.0,91.0,2.0,2.0,0.0,3437.0,526.0,506.0,51.0
