squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,26.0,42.9,19.0,209.0,1710.0,15.0,8.0,5.0,5.0,46.0,2.0,0.79,0.42,1.21,0.53,0.95,19.5,15.7,10.3,1.02,0.54,1.57,0.83,1.37,19.0,19.0,1710.0,30.0,1.58,76.0,48.0,63.2,4.0,4.0,11.0,3.0,15.8,4.0,2.0,2.0,0.0,19.0,0.0,6.0,0.0,25.4,0.29,-4.6,-0.24,208.0,392.0,53.1,416.0,44.0,67.1,48.5,171.0,66.1,49.0,209.0,19.0,9.1,16.0,0.84,13.8,191.0,53.0,6.0,27.7,10.05,2.79,0.05,0.19,0.08,-4.5,-5.7,5295.0,7268.0,72.9,116673.0,46432.0,1962.0,2390.0,82.1,2195.0,2704.0,81.2,1062.0,1915.0,55.5,-2.3,128.0,422.0,99.0,38.0,419.0,6306.0,962.0,283.0,4.0,1242.0,339.0,242.0,64.0,23.0,27.0,5.0,4013.0,1083.0,2172.0,1849.0,4068.0,425.0,394.0,96.0,32.0,190.0,230.0,215.0,276.0,14.53,160.0,45.0,18.0,19.0,27.0,23.0,1.21,7.0,3.0,2.0,4.0,4.0,3.0,297.0,182.0,140.0,124.0,33.0,112.0,299.0,37.5,187.0,2866.0,728.0,25.4,982.0,1297.0,587.0,293.0,66.0,1.0,227.0,246.0,530.0,4.0,9530.0,1261.0,3326.0,4465.0,2187.0,338.0,8586.0,145.0,263.0,55.1,158.0,19.0,5132.0,24241.0,12367.0,483.0,127.0,54.0,6620.0,5295.0,80.0,239.0,189.0,2.0,286.0,241.0,35.0,4.0,4.0,0.0,1578.0,498.0,349.0,58.8
Athletic Club,24.0,48.9,20.0,220.0,1800.0,18.0,16.0,1.0,3.0,38.0,2.0,0.9,0.8,1.7,0.85,1.65,27.4,25.1,19.0,1.37,0.95,2.32,1.26,2.21,20.0,20.0,1800.0,17.0,0.85,69.0,50.0,78.3,6.0,9.0,5.0,7.0,35.0,2.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,17.3,0.24,0.3,0.02,88.0,209.0,42.1,372.0,94.0,40.1,36.8,143.0,42.0,40.6,196.0,13.0,6.6,17.0,0.85,15.7,258.0,72.0,7.0,27.9,12.9,3.6,0.07,0.24,0.1,-9.4,-8.1,7096.0,9271.0,76.5,138747.0,51268.0,2842.0,3301.0,86.1,3101.0,3738.0,83.0,1021.0,1858.0,55.0,-3.0,180.0,596.0,175.0,40.0,747.0,8213.0,1058.0,281.0,9.0,1172.0,284.0,295.0,135.0,30.0,53.0,5.0,5821.0,1316.0,2134.0,1998.0,5930.0,461.0,462.0,154.0,39.0,229.0,318.0,242.0,395.0,19.75,265.0,48.0,22.0,22.0,21.0,34.0,1.7,22.0,3.0,3.0,0.0,3.0,3.0,302.0,197.0,130.0,121.0,51.0,111.0,284.0,39.1,173.0,2839.0,785.0,27.7,689.0,1312.0,838.0,312.0,75.0,2.0,237.0,237.0,401.0,2.0,11520.0,1164.0,3333.0,5494.0,3370.0,522.0,10498.0,160.0,295.0,54.2,180.0,19.0,6854.0,35528.0,19628.0,819.0,263.0,82.0,8343.0,7096.0,85.1,250.0,230.0,1.0,255.0,236.0,44.0,2.0,2.0,0.0,1812.0,338.0,360.0,48.4
Atlético Madrid,22.0,53.5,19.0,209.0,1710.0,29.0,23.0,1.0,1.0,52.0,2.0,1.53,1.21,2.74,1.47,2.68,26.6,25.8,19.1,1.4,1.01,2.41,1.36,2.37,19.0,19.0,1710.0,22.0,1.16,39.0,21.0,51.3,9.0,5.0,5.0,6.0,31.6,3.0,3.0,0.0,0.0,19.0,1.0,3.0,2.0,13.2,0.27,-6.8,-0.36,91.0,239.0,38.1,374.0,80.0,44.1,38.9,127.0,58.3,46.6,127.0,11.0,8.7,5.0,0.26,13.5,254.0,78.0,3.0,30.7,13.37,4.11,0.11,0.36,0.1,2.4,2.2,8339.0,10177.0,81.9,160083.0,52440.0,3573.0,3989.0,89.6,3362.0,3828.0,87.8,1221.0,1962.0,62.2,3.9,189.0,653.0,198.0,39.0,733.0,9213.0,964.0,260.0,21.0,1269.0,359.0,263.0,116.0,37.0,49.0,4.0,6881.0,1393.0,1903.0,2677.0,6371.0,336.0,420.0,149.0,40.0,181.0,308.0,224.0,378.0,19.89,276.0,42.0,22.0,14.0,16.0,49.0,2.58,38.0,2.0,4.0,2.0,1.0,2.0,336.0,203.0,149.0,142.0,45.0,143.0,323.0,44.3,180.0,2506.0,785.0,31.3,764.0,1109.0,633.0,233.0,46.0,0.0,187.0,238.0,303.0,4.0,12172.0,1015.0,3490.0,5880.0,3548.0,569.0,11251.0,169.0,286.0,59.1,183.0,14.0,8100.0,40134.0,22291.0,983.0,263.0,90.0,9644.0,8339.0,86.5,221.0,213.0,1.0,226.0,237.0,44.0,1.0,3.0,1.0,1546.0,317.0,265.0,54.5
Barcelona,33.0,64.7,19.0,209.0,1710.0,30.0,21.0,4.0,5.0,44.0,2.0,1.58,1.11,2.68,1.37,2.47,31.8,28.0,22.0,1.67,1.16,2.83,1.47,2.63,19.0,19.0,1710.0,22.0,1.16,56.0,34.0,60.7,8.0,7.0,4.0,4.0,21.1,0.0,0.0,0.0,0.0,19.0,1.0,5.0,0.0,20.1,0.36,-1.9,-0.1,110.0,199.0,55.3,628.0,80.0,25.6,29.5,124.0,30.6,33.0,139.0,8.0,5.8,7.0,0.37,12.5,249.0,82.0,8.0,32.9,13.11,4.32,0.1,0.32,0.11,-1.8,-2.0,10546.0,12180.0,86.6,196336.0,58908.0,4497.0,4883.0,92.1,4503.0,4987.0,90.3,1356.0,1918.0,70.7,-1.0,194.0,809.0,197.0,40.0,827.0,11212.0,968.0,332.0,32.0,1460.0,310.0,289.0,113.0,31.0,38.0,2.0,9396.0,1217.0,1567.0,2778.0,8434.0,302.0,355.0,128.0,37.0,140.0,277.0,197.0,414.0,21.79,317.0,31.0,26.0,11.0,21.0,51.0,2.68,37.0,3.0,4.0,2.0,5.0,0.0,304.0,199.0,131.0,127.0,46.0,112.0,259.0,43.2,147.0,2445.0,816.0,33.4,704.0,1148.0,593.0,263.0,47.0,1.0,216.0,210.0,254.0,7.0,14288.0,1336.0,4014.0,7078.0,4090.0,593.0,13365.0,209.0,350.0,59.7,217.0,17.0,9994.0,49083.0,28404.0,1186.0,311.0,131.0,11737.0,10546.0,89.9,270.0,248.0,1.0,269.0,289.0,41.0,5.0,0.0,0.0,1523.0,265.0,239.0,52.6
Betis,29.0,52.8,19.0,209.0,1710.0,31.0,23.0,3.0,3.0,43.0,3.0,1.63,1.21,2.84,1.47,2.68,28.8,26.5,19.4,1.52,1.02,2.54,1.4,2.42,19.0,19.0,1710.0,23.0,1.21,66.0,47.0,68.2,10.0,3.0,6.0,5.0,26.3,2.0,2.0,0.0,0.0,19.0,0.0,2.0,2.0,23.1,0.32,2.1,0.11,112.0,278.0,40.3,468.0,71.0,44.7,39.2,128.0,53.9,45.4,172.0,9.0,5.2,12.0,0.63,14.3,271.0,98.0,8.0,36.2,14.26,5.16,0.1,0.29,0.1,2.2,1.5,7613.0,9384.0,81.1,147600.0,49254.0,3138.0,3537.0,88.7,3219.0,3702.0,87.0,1090.0,1775.0,61.4,3.6,203.0,546.0,178.0,35.0,631.0,8486.0,898.0,275.0,10.0,1351.0,254.0,200.0,80.0,26.0,32.0,2.0,6447.0,1161.0,1776.0,4060.0,4278.0,351.0,375.0,119.0,31.0,176.0,249.0,207.0,433.0,22.79,318.0,37.0,23.0,16.0,22.0,49.0,2.58,34.0,3.0,3.0,2.0,6.0,1.0,348.0,228.0,170.0,129.0,49.0,133.0,329.0,40.4,196.0,2619.0,751.0,28.7,871.0,1192.0,556.0,294.0,53.0,1.0,241.0,244.0,417.0,6.0,11646.0,1258.0,3730.0,5535.0,3057.0,524.0,10785.0,173.0,310.0,55.8,189.0,16.0,7554.0,37929.0,20297.0,820.0,226.0,95.0,8966.0,7613.0,84.9,238.0,185.0,1.0,245.0,217.0,36.0,3.0,2.0,2.0,1547.0,300.0,296.0,50.3
Cádiz,26.0,34.6,19.0,209.0,1710.0,15.0,9.0,3.0,5.0,47.0,2.0,0.79,0.47,1.26,0.63,1.11,17.5,13.7,9.7,0.92,0.51,1.44,0.72,1.23,19.0,19.0,1710.0,32.0,1.68,86.0,58.0,68.6,2.0,8.0,9.0,4.0,21.1,5.0,5.0,0.0,0.0,19.0,0.0,8.0,0.0,30.3,0.31,-1.7,-0.09,158.0,439.0,36.0,367.0,47.0,75.7,56.0,183.0,88.0,67.4,199.0,18.0,9.0,5.0,0.26,12.6,178.0,42.0,5.0,23.6,9.37,2.21,0.07,0.29,0.08,-2.5,-1.7,4128.0,6112.0,67.5,90234.0,36792.0,1584.0,1921.0,82.5,1615.0,2106.0,76.7,840.0,1810.0,46.4,-0.7,113.0,338.0,93.0,41.0,373.0,5190.0,922.0,235.0,6.0,943.0,268.0,266.0,80.0,27.0,38.0,4.0,3044.0,961.0,2107.0,1184.0,3803.0,346.0,374.0,85.0,23.0,176.0,199.0,188.0,250.0,13.16,151.0,34.0,15.0,20.0,16.0,24.0,1.26,12.0,4.0,1.0,2.0,4.0,1.0,370.0,233.0,220.0,114.0,36.0,139.0,345.0,40.3,206.0,3003.0,847.0,28.2,1257.0,1295.0,451.0,328.0,81.0,0.0,247.0,318.0,490.0,5.0,8462.0,1238.0,3308.0,3612.0,2006.0,288.0,7555.0,121.0,235.0,51.5,140.0,16.0,4419.0,24179.0,12984.0,443.0,168.0,47.0,5348.0,4128.0,77.2,236.0,177.0,2.0,216.0,204.0,26.0,4.0,4.0,0.0,1535.0,356.0,400.0,47.1
Celta Vigo,24.0,56.4,19.0,209.0,1710.0,22.0,14.0,2.0,4.0,47.0,1.0,1.16,0.74,1.89,1.05,1.79,23.1,19.9,14.1,1.21,0.74,1.96,1.05,1.79,19.0,19.0,1710.0,22.0,1.16,78.0,57.0,73.1,6.0,5.0,8.0,7.0,36.8,4.0,1.0,3.0,0.0,19.0,0.0,1.0,0.0,27.4,0.31,5.4,0.28,175.0,400.0,43.8,564.0,67.0,54.4,44.3,134.0,69.4,53.9,125.0,16.0,12.8,19.0,1.0,17.2,212.0,68.0,8.0,32.1,11.16,3.58,0.09,0.29,0.1,-1.1,0.1,8024.0,10229.0,78.4,160720.0,49531.0,3178.0,3635.0,87.4,3309.0,3920.0,84.4,1363.0,2235.0,61.0,-0.1,142.0,530.0,145.0,45.0,587.0,9231.0,998.0,253.0,16.0,1331.0,308.0,268.0,83.0,26.0,37.0,9.0,6637.0,1454.0,2138.0,3019.0,5844.0,427.0,487.0,128.0,41.0,207.0,287.0,271.0,331.0,17.42,243.0,26.0,14.0,17.0,19.0,33.0,1.74,23.0,1.0,2.0,4.0,1.0,2.0,412.0,261.0,187.0,168.0,57.0,108.0,336.0,32.1,228.0,3025.0,1027.0,34.0,994.0,1355.0,676.0,332.0,54.0,1.0,278.0,295.0,345.0,3.0,12513.0,1167.0,3833.0,6367.0,3057.0,407.0,11549.0,146.0,274.0,53.3,161.0,15.0,7658.0,39533.0,21620.0,868.0,270.0,53.0,9505.0,8024.0,84.4,257.0,205.0,0.0,237.0,234.0,44.0,2.0,4.0,0.0,1750.0,382.0,373.0,50.6
Elche,24.0,48.2,19.0,209.0,1710.0,18.0,12.0,1.0,1.0,50.0,2.0,0.95,0.63,1.58,0.89,1.53,18.3,17.6,14.2,0.96,0.75,1.71,0.92,1.67,19.0,19.0,1710.0,27.0,1.42,89.0,65.0,73.0,3.0,7.0,9.0,4.0,21.1,4.0,3.0,1.0,0.0,19.0,0.0,5.0,0.0,27.6,0.27,0.6,0.03,128.0,337.0,38.0,470.0,97.0,49.8,40.3,174.0,59.2,45.3,197.0,13.0,6.6,14.0,0.74,15.2,167.0,58.0,4.0,34.7,8.79,3.05,0.1,0.29,0.11,-0.3,-0.6,6630.0,8406.0,78.9,134511.0,46994.0,2603.0,2981.0,87.3,2828.0,3240.0,87.3,1092.0,1852.0,59.0,-2.2,128.0,396.0,104.0,42.0,450.0,7401.0,1005.0,304.0,7.0,1130.0,266.0,216.0,77.0,36.0,29.0,2.0,5531.0,1156.0,1719.0,2949.0,4430.0,285.0,405.0,151.0,31.0,167.0,262.0,252.0,258.0,13.58,184.0,26.0,21.0,9.0,12.0,27.0,1.42,16.0,2.0,5.0,1.0,1.0,2.0,291.0,160.0,153.0,111.0,27.0,105.0,268.0,39.2,163.0,2504.0,661.0,26.4,933.0,1138.0,433.0,248.0,69.0,2.0,179.0,261.0,410.0,7.0,10563.0,1317.0,3918.0,5043.0,2200.0,267.0,9581.0,155.0,286.0,54.2,166.0,15.0,6546.0,32061.0,16132.0,634.0,178.0,32.0,7792.0,6630.0,85.1,277.0,191.0,1.0,246.0,247.0,34.0,1.0,4.0,0.0,1352.0,245.0,282.0,46.5
Espanyol,29.0,46.6,19.0,209.0,1710.0,22.0,12.0,3.0,3.0,40.0,3.0,1.16,0.63,1.79,1.0,1.63,21.0,18.8,13.5,1.11,0.71,1.82,0.99,1.7,19.0,19.0,1710.0,22.0,1.16,78.0,58.0,73.1,7.0,5.0,7.0,6.0,31.6,1.0,1.0,0.0,0.0,19.0,0.0,1.0,2.0,21.1,0.26,1.1,0.06,93.0,248.0,37.5,440.0,99.0,39.3,36.9,168.0,44.6,38.4,231.0,19.0,8.2,12.0,0.63,13.5,222.0,69.0,16.0,31.1,11.68,3.63,0.09,0.28,0.09,1.0,0.2,6550.0,8201.0,79.9,126515.0,43165.0,2686.0,2991.0,89.8,2763.0,3161.0,87.4,938.0,1685.0,55.7,-1.5,148.0,484.0,102.0,31.0,449.0,7260.0,941.0,288.0,9.0,1104.0,252.0,187.0,100.0,36.0,38.0,2.0,5478.0,1038.0,1685.0,2212.0,5065.0,304.0,320.0,134.0,34.0,136.0,211.0,209.0,337.0,17.74,242.0,30.0,17.0,18.0,20.0,34.0,1.79,22.0,3.0,2.0,5.0,1.0,1.0,288.0,185.0,153.0,103.0,32.0,104.0,276.0,37.7,172.0,2266.0,617.0,27.2,924.0,935.0,407.0,261.0,64.0,2.0,197.0,227.0,463.0,9.0,10405.0,1458.0,3873.0,4827.0,2398.0,332.0,9485.0,176.0,311.0,56.6,188.0,17.0,6510.0,33922.0,18007.0,713.0,252.0,76.0,7694.0,6550.0,85.1,237.0,221.0,0.0,202.0,247.0,39.0,1.0,1.0,1.0,1375.0,231.0,317.0,42.2
Getafe,26.0,42.2,19.0,209.0,1710.0,13.0,11.0,0.0,1.0,59.0,4.0,0.68,0.58,1.26,0.68,1.26,14.2,13.4,10.1,0.75,0.53,1.28,0.71,1.24,19.0,19.0,1710.0,20.0,1.05,64.0,44.0,71.9,4.0,6.0,9.0,6.0,31.6,3.0,2.0,0.0,1.0,19.0,0.0,4.0,0.0,18.7,0.26,-1.3,-0.07,199.0,459.0,43.4,452.0,42.0,75.4,52.5,141.0,83.7,58.5,180.0,23.0,12.8,16.0,0.84,14.3,214.0,56.0,15.0,26.2,11.26,2.95,0.06,0.23,0.06,-1.2,-0.4,5358.0,7360.0,72.8,112117.0,43733.0,2158.0,2567.0,84.1,2066.0,2566.0,80.5,1013.0,1900.0,53.3,0.9,151.0,422.0,94.0,42.0,458.0,6392.0,968.0,285.0,4.0,1209.0,296.0,197.0,72.0,36.0,22.0,6.0,4080.0,1037.0,2243.0,2223.0,3789.0,454.0,431.0,89.0,27.0,165.0,195.0,223.0,333.0,17.53,230.0,32.0,16.0,16.0,25.0,22.0,1.16,16.0,2.0,0.0,0.0,1.0,3.0,350.0,219.0,167.0,137.0,46.0,133.0,328.0,40.5,195.0,3250.0,886.0,27.3,950.0,1603.0,697.0,294.0,53.0,0.0,241.0,313.0,358.0,7.0,9505.0,1043.0,3045.0,4666.0,2304.0,301.0,8559.0,124.0,254.0,48.8,139.0,6.0,5286.0,26574.0,13086.0,529.0,184.0,33.0,6643.0,5358.0,80.7,241.0,173.0,1.0,294.0,228.0,30.0,1.0,3.0,0.0,1524.0,404.0,419.0,49.1
