squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Amiens,30.0,43.4,38.0,418.0,3420.0,36.0,20.0,3.0,4.0,0.0,0.0,0.95,0.53,1.47,0.87,1.39,35.3,32.2,23.5,0.93,0.62,1.55,0.85,1.47,38.0,38.0,3420.0,42.0,1.11,184.0,146.0,79.3,12.0,9.0,17.0,11.0,28.9,4.0,4.0,0.0,0.0,38.0,0.0,2.0,0.0,51.7,0.27,9.7,0.25,248.0,740.0,33.5,751.0,73.0,62.5,47.3,277.0,97.8,65.5,486.0,39.0,8.0,21.0,0.55,14.9,372.0,110.0,13.0,29.6,9.79,2.89,0.09,0.3,0.09,0.7,0.8,10940.0,15245.0,71.8,215927.0,88753.0,4274.0,5201.0,82.2,4729.0,5947.0,79.5,1663.0,3407.0,48.8,0.5,261.0,860.0,176.0,54.0,1050.0,13659.0,1586.0,412.0,20.0,2520.0,381.0,395.0,132.0,0.0,0.0,0.0,9323.0,1440.0,4482.0,4413.0,8432.0,1188.0,704.0,148.0,60.0,470.0,371.0,410.0,544.0,14.32,375.0,62.0,31.0,26.0,40.0,62.0,1.63,39.0,3.0,6.0,5.0,6.0,3.0,606.0,369.0,339.0,203.0,64.0,168.0,529.0,31.8,361.0,4874.0,1347.0,27.6,1849.0,2140.0,885.0,650.0,174.0,4.0,476.0,502.0,765.0,12.0,19793.0,2407.0,7759.0,8922.0,4437.0,544.0,18245.0,321.0,538.0,59.7,350.0,9.0,11643.0,64325.0,33401.0,1175.0,379.0,72.0,13120.0,10940.0,83.4,513.0,437.0,2.0,482.0,464.0,69.0,4.0,4.0,0.0,3671.0,289.0,314.0,47.9
Angers,27.0,44.9,38.0,418.0,3420.0,41.0,23.0,4.0,4.0,0.0,0.0,1.08,0.61,1.68,0.97,1.58,45.6,42.6,30.8,1.2,0.81,2.01,1.12,1.93,38.0,38.0,3420.0,52.0,1.37,143.0,101.0,68.5,9.0,14.0,15.0,6.0,15.8,7.0,7.0,0.0,0.0,38.0,1.0,4.0,3.0,43.0,0.27,-6.0,-0.16,169.0,472.0,35.8,603.0,136.0,50.2,41.5,182.0,92.9,64.5,367.0,31.0,8.4,31.0,0.82,17.0,467.0,155.0,19.0,33.2,12.29,4.08,0.08,0.24,0.09,-4.6,-5.6,12407.0,16446.0,75.4,242773.0,93492.0,4953.0,5833.0,84.9,5356.0,6479.0,82.7,1877.0,3467.0,54.1,-0.8,343.0,1000.0,235.0,63.0,1213.0,14843.0,1603.0,384.0,34.0,2661.0,424.0,434.0,164.0,0.0,0.0,0.0,10706.0,1324.0,4416.0,4967.0,9146.0,1088.0,805.0,225.0,51.0,369.0,398.0,472.0,734.0,19.32,497.0,75.0,52.0,43.0,48.0,70.0,1.84,43.0,8.0,3.0,8.0,7.0,1.0,571.0,357.0,320.0,194.0,57.0,167.0,623.0,26.8,456.0,5172.0,1333.0,25.8,1699.0,2510.0,963.0,566.0,81.0,2.0,485.0,402.0,550.0,11.0,20741.0,1705.0,6945.0,9804.0,5385.0,686.0,19158.0,311.0,564.0,55.1,342.0,23.0,13113.0,73653.0,37235.0,1434.0,463.0,113.0,14432.0,12407.0,86.0,510.0,422.0,2.0,443.0,439.0,60.0,3.0,6.0,4.0,3534.0,230.0,275.0,45.5
Bordeaux,31.0,50.7,38.0,418.0,3420.0,52.0,31.0,4.0,6.0,0.0,0.0,1.37,0.82,2.18,1.26,2.08,52.7,47.9,36.7,1.39,0.97,2.35,1.26,2.23,38.0,38.0,3420.0,48.0,1.26,127.0,84.0,65.4,16.0,7.0,15.0,10.0,26.3,9.0,4.0,4.0,1.0,38.0,4.0,6.0,1.0,37.8,0.25,-9.2,-0.24,175.0,542.0,32.3,777.0,99.0,48.6,42.5,183.0,89.6,65.2,362.0,29.0,8.0,21.0,0.55,14.3,492.0,157.0,23.0,31.9,12.95,4.13,0.1,0.31,0.1,-0.7,0.1,14055.0,17958.0,78.3,271257.0,94855.0,5809.0,6727.0,86.4,6008.0,7107.0,84.5,2008.0,3485.0,57.6,-0.7,365.0,1114.0,313.0,94.0,1303.0,16471.0,1487.0,349.0,47.0,2633.0,554.0,476.0,165.0,0.0,0.0,0.0,12406.0,1742.0,3810.0,5149.0,10578.0,1085.0,728.0,201.0,62.0,363.0,397.0,451.0,784.0,20.63,583.0,49.0,49.0,38.0,43.0,87.0,2.29,63.0,5.0,7.0,5.0,5.0,2.0,652.0,412.0,332.0,252.0,68.0,187.0,579.0,32.3,392.0,5072.0,1461.0,28.8,1646.0,2339.0,1087.0,521.0,112.0,4.0,409.0,432.0,577.0,12.0,22288.0,1909.0,7499.0,10338.0,6228.0,824.0,20844.0,376.0,648.0,58.0,427.0,16.0,14778.0,90185.0,48692.0,1776.0,600.0,135.0,16359.0,14055.0,85.9,488.0,441.0,1.0,510.0,475.0,79.0,5.0,6.0,1.0,3415.0,234.0,259.0,47.5
Caen,26.0,45.5,38.0,418.0,3420.0,25.0,19.0,5.0,8.0,0.0,0.0,0.66,0.5,1.16,0.53,1.03,42.2,36.2,28.0,1.11,0.74,1.85,0.95,1.69,38.0,38.0,3420.0,52.0,1.37,151.0,108.0,68.9,10.0,8.0,20.0,13.0,34.2,5.0,5.0,0.0,0.0,38.0,0.0,6.0,4.0,44.7,0.27,-3.3,-0.09,326.0,713.0,45.7,775.0,84.0,67.7,50.1,200.0,94.0,64.4,381.0,33.0,8.7,18.0,0.47,14.3,474.0,125.0,12.0,26.4,12.47,3.29,0.04,0.16,0.08,-17.2,-16.2,11292.0,15797.0,71.5,242060.0,97134.0,3990.0,5001.0,79.8,4820.0,6061.0,79.5,2241.0,4021.0,55.7,-9.0,349.0,1124.0,229.0,111.0,1225.0,14179.0,1618.0,396.0,20.0,2502.0,627.0,602.0,193.0,0.0,0.0,0.0,9265.0,1536.0,4996.0,3633.0,9466.0,1441.0,758.0,175.0,67.0,464.0,392.0,465.0,712.0,18.74,490.0,96.0,25.0,41.0,44.0,48.0,1.26,33.0,4.0,3.0,3.0,4.0,1.0,638.0,372.0,350.0,224.0,64.0,199.0,654.0,30.4,455.0,5833.0,1541.0,26.4,1963.0,2727.0,1143.0,631.0,105.0,2.0,526.0,515.0,675.0,11.0,20285.0,1927.0,6972.0,9137.0,5599.0,632.0,18694.0,292.0,470.0,62.1,326.0,27.0,11650.0,70384.0,37101.0,1306.0,450.0,71.0,13773.0,11292.0,82.0,538.0,371.0,0.0,515.0,440.0,82.0,5.0,5.0,4.0,3930.0,343.0,311.0,52.4
Dijon,26.0,48.4,38.0,418.0,3420.0,52.0,28.0,5.0,5.0,0.0,0.0,1.37,0.74,2.11,1.24,1.97,42.9,39.2,26.1,1.13,0.69,1.81,1.03,1.72,38.0,38.0,3420.0,73.0,1.92,198.0,139.0,68.7,13.0,9.0,16.0,5.0,13.2,15.0,11.0,3.0,1.0,38.0,2.0,7.0,3.0,74.7,0.32,4.7,0.12,285.0,650.0,43.8,1153.0,171.0,45.8,40.2,182.0,67.0,52.6,446.0,47.0,10.5,48.0,1.26,16.9,455.0,166.0,26.0,36.5,11.97,4.37,0.1,0.28,0.09,9.1,7.8,12787.0,16820.0,76.0,271545.0,96045.0,4482.0,5372.0,83.4,5675.0,6740.0,84.2,2417.0,4112.0,58.8,9.9,322.0,1028.0,281.0,87.0,1159.0,15333.0,1487.0,381.0,21.0,2563.0,646.0,404.0,142.0,0.0,0.0,0.0,10820.0,1679.0,4321.0,4035.0,10483.0,1096.0,711.0,256.0,57.0,439.0,357.0,400.0,721.0,18.97,507.0,65.0,44.0,33.0,54.0,86.0,2.26,54.0,6.0,6.0,9.0,7.0,4.0,628.0,384.0,347.0,227.0,54.0,155.0,550.0,28.2,395.0,5360.0,1490.0,27.8,1877.0,2419.0,1064.0,555.0,123.0,4.0,432.0,474.0,586.0,7.0,21148.0,2319.0,8176.0,9420.0,5244.0,710.0,19703.0,368.0,594.0,62.0,400.0,9.0,13878.0,85346.0,45695.0,1553.0,496.0,97.0,15276.0,12787.0,83.7,457.0,408.0,1.0,469.0,477.0,73.0,4.0,12.0,3.0,3443.0,219.0,289.0,43.1
Guingamp,23.0,49.7,38.0,418.0,3420.0,46.0,23.0,6.0,7.0,0.0,0.0,1.21,0.61,1.82,1.05,1.66,45.6,40.5,26.0,1.2,0.68,1.88,1.07,1.75,38.0,38.0,3420.0,59.0,1.55,169.0,116.0,68.0,12.0,11.0,15.0,11.0,28.9,7.0,5.0,2.0,0.0,38.0,0.0,7.0,1.0,55.0,0.29,-3.0,-0.08,195.0,558.0,34.9,719.0,110.0,52.2,43.6,209.0,87.6,65.5,394.0,39.0,9.9,16.0,0.42,15.3,462.0,162.0,34.0,35.1,12.16,4.26,0.09,0.25,0.09,0.4,-0.5,13225.0,17284.0,76.5,252402.0,94274.0,5457.0,6412.0,85.1,5489.0,6662.0,82.4,1940.0,3469.0,55.9,1.0,307.0,1085.0,238.0,83.0,1212.0,15748.0,1536.0,382.0,24.0,3271.0,454.0,498.0,180.0,0.0,0.0,0.0,11700.0,1400.0,4184.0,4278.0,10817.0,1065.0,692.0,180.0,88.0,490.0,397.0,445.0,704.0,18.53,496.0,71.0,28.0,38.0,60.0,77.0,2.03,46.0,6.0,3.0,10.0,11.0,1.0,564.0,346.0,307.0,193.0,64.0,161.0,536.0,30.0,375.0,4879.0,1344.0,27.5,1618.0,2246.0,1015.0,518.0,129.0,5.0,389.0,482.0,621.0,6.0,21573.0,2017.0,7151.0,10055.0,5885.0,746.0,20049.0,341.0,534.0,63.9,374.0,5.0,13463.0,80459.0,41393.0,1583.0,490.0,140.0,15419.0,13225.0,85.8,466.0,437.0,2.0,480.0,521.0,101.0,6.0,5.0,1.0,3460.0,268.0,255.0,51.2
Lille,25.0,53.5,38.0,418.0,3420.0,41.0,28.0,2.0,2.0,0.0,0.0,1.08,0.74,1.82,1.03,1.76,37.7,36.2,30.4,0.99,0.8,1.79,0.95,1.75,38.0,38.0,3393.0,64.0,1.7,183.0,124.0,67.2,10.0,8.0,20.0,5.0,13.2,7.0,4.0,2.0,1.0,38.0,1.0,5.0,3.0,61.3,0.31,-2.7,-0.07,124.0,333.0,37.2,802.0,143.0,27.7,31.7,157.0,70.7,57.6,351.0,38.0,10.8,38.0,1.0,16.2,441.0,144.0,22.0,32.7,11.61,3.79,0.09,0.27,0.08,3.3,2.8,15564.0,19286.0,80.7,295958.0,102883.0,6199.0,7117.0,87.1,6881.0,7911.0,87.0,2129.0,3476.0,61.2,0.6,354.0,1220.0,251.0,68.0,1411.0,18007.0,1279.0,275.0,32.0,3168.0,484.0,445.0,159.0,0.0,0.0,0.0,14410.0,1398.0,3478.0,6773.0,10666.0,782.0,618.0,237.0,79.0,392.0,446.0,449.0,732.0,19.26,550.0,55.0,50.0,30.0,43.0,70.0,1.84,55.0,2.0,6.0,3.0,3.0,1.0,609.0,367.0,338.0,213.0,58.0,174.0,502.0,34.7,328.0,4622.0,1335.0,28.9,1606.0,2115.0,901.0,542.0,111.0,4.0,431.0,445.0,519.0,16.0,23693.0,2005.0,8252.0,11229.0,6073.0,685.0,22447.0,491.0,748.0,65.6,518.0,13.0,16805.0,97370.0,52363.0,1854.0,585.0,128.0,17743.0,15564.0,87.7,574.0,517.0,2.0,469.0,438.0,90.0,2.0,7.0,3.0,3431.0,217.0,177.0,55.1
Lyon,26.0,55.6,38.0,418.0,3420.0,85.0,48.0,6.0,7.0,0.0,0.0,2.24,1.26,3.5,2.08,3.34,67.0,61.9,45.4,1.76,1.2,2.96,1.63,2.83,38.0,38.0,3420.0,43.0,1.13,147.0,112.0,74.1,23.0,9.0,6.0,15.0,39.5,8.0,5.0,2.0,1.0,38.0,2.0,3.0,3.0,39.3,0.23,-0.7,-0.02,114.0,309.0,36.9,742.0,119.0,32.1,34.7,132.0,53.8,48.7,409.0,35.0,8.6,20.0,0.53,14.7,602.0,229.0,54.0,38.0,15.84,6.03,0.13,0.34,0.1,18.0,17.1,16846.0,20273.0,83.1,323840.0,102526.0,6619.0,7500.0,88.3,7302.0,8261.0,88.4,2523.0,3660.0,68.9,16.6,423.0,1278.0,290.0,78.0,1373.0,18932.0,1341.0,323.0,48.0,2759.0,522.0,429.0,171.0,0.0,0.0,0.0,15400.0,1596.0,3277.0,7288.0,11025.0,874.0,655.0,189.0,62.0,342.0,413.0,425.0,980.0,25.79,654.0,77.0,79.0,61.0,81.0,143.0,3.76,96.0,6.0,14.0,12.0,11.0,4.0,568.0,362.0,293.0,205.0,70.0,153.0,480.0,31.9,327.0,6138.0,1724.0,28.1,2076.0,2677.0,1385.0,517.0,119.0,3.0,398.0,437.0,525.0,14.0,24876.0,1985.0,8012.0,12021.0,6738.0,885.0,23539.0,432.0,753.0,57.4,475.0,23.0,17171.0,101729.0,55612.0,2116.0,640.0,182.0,18872.0,16846.0,89.3,502.0,484.0,1.0,473.0,538.0,80.0,6.0,8.0,3.0,3340.0,252.0,204.0,55.3
Marseille,26.0,58.0,38.0,418.0,3420.0,79.0,44.0,5.0,8.0,0.0,0.0,2.08,1.16,3.24,1.95,3.11,72.1,66.1,47.0,1.9,1.24,3.13,1.74,2.98,38.0,38.0,3418.0,47.0,1.24,144.0,103.0,70.1,22.0,11.0,5.0,14.0,36.8,6.0,4.0,1.0,1.0,38.0,2.0,5.0,2.0,44.1,0.28,-0.9,-0.02,158.0,412.0,38.3,750.0,127.0,41.3,37.2,143.0,71.3,53.4,311.0,28.0,9.0,17.0,0.45,14.6,629.0,222.0,23.0,35.3,16.55,5.84,0.12,0.33,0.11,6.9,7.9,16580.0,20412.0,81.2,311663.0,105583.0,7041.0,7926.0,88.8,6937.0,8058.0,86.1,2252.0,3686.0,61.1,7.0,447.0,1241.0,328.0,129.0,1411.0,18977.0,1435.0,330.0,46.0,2941.0,562.0,613.0,233.0,0.0,0.0,0.0,14884.0,1481.0,4047.0,5557.0,12806.0,918.0,670.0,189.0,65.0,414.0,389.0,448.0,986.0,25.95,684.0,88.0,62.0,74.0,61.0,130.0,3.42,85.0,11.0,10.0,15.0,9.0,0.0,663.0,406.0,328.0,252.0,83.0,202.0,573.0,35.3,371.0,4573.0,1471.0,32.2,1497.0,1976.0,1100.0,561.0,102.0,4.0,459.0,405.0,391.0,8.0,24800.0,1862.0,8227.0,11301.0,7031.0,942.0,23397.0,360.0,601.0,59.9,393.0,10.0,16715.0,89559.0,48998.0,1918.0,602.0,183.0,18546.0,16580.0,89.4,519.0,429.0,0.0,486.0,484.0,80.0,8.0,5.0,2.0,3622.0,275.0,269.0,50.6
Metz,36.0,45.5,38.0,418.0,3420.0,33.0,25.0,3.0,4.0,0.0,0.0,0.87,0.66,1.53,0.79,1.45,37.9,35.0,27.4,1.0,0.72,1.72,0.92,1.64,38.0,38.0,3419.0,76.0,2.0,213.0,142.0,65.7,6.0,8.0,24.0,4.0,10.5,5.0,3.0,2.0,0.0,38.0,1.0,10.0,2.0,69.3,0.31,-4.7,-0.12,207.0,583.0,35.5,694.0,138.0,56.1,44.3,206.0,94.2,65.9,406.0,32.0,7.9,27.0,0.71,15.2,448.0,167.0,16.0,37.3,11.79,4.39,0.07,0.18,0.08,-4.9,-5.0,12161.0,16352.0,74.4,251976.0,94083.0,4407.0,5267.0,83.7,5327.0,6501.0,81.9,2176.0,3924.0,55.5,-0.4,339.0,1111.0,242.0,97.0,1207.0,14801.0,1551.0,376.0,16.0,2735.0,594.0,498.0,171.0,0.0,0.0,0.0,10179.0,1523.0,4650.0,3549.0,10473.0,1124.0,717.0,239.0,47.0,463.0,387.0,451.0,702.0,18.47,500.0,71.0,46.0,32.0,30.0,60.0,1.58,45.0,4.0,2.0,4.0,2.0,3.0,663.0,401.0,365.0,224.0,74.0,221.0,620.0,35.6,399.0,4592.0,1343.0,29.2,1689.0,2033.0,870.0,524.0,107.0,4.0,417.0,416.0,548.0,13.0,20560.0,1918.0,6804.0,9415.0,5733.0,634.0,19038.0,305.0,517.0,59.0,338.0,16.0,12586.0,70619.0,36523.0,1345.0,478.0,88.0,14186.0,12159.0,85.7,494.0,391.0,2.0,509.0,441.0,57.0,2.0,5.0,2.0,3580.0,242.0,295.0,45.1
