squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Angers,31.0,46.2,38.0,418.0,3420.0,39.0,23.0,5.0,6.0,65.0,2.0,1.03,0.61,1.63,0.89,1.5,41.8,37.2,27.4,1.1,0.72,1.82,0.98,1.7,38.0,38.0,3420.0,58.0,1.53,134.0,82.0,61.9,12.0,8.0,18.0,9.0,23.7,8.0,7.0,1.0,0.0,38.0,0.0,6.0,1.0,49.9,0.33,-7.1,-0.19,177.0,512.0,34.6,720.0,210.0,43.9,38.9,269.0,72.9,52.8,318.0,24.0,7.5,11.0,0.29,13.1,399.0,137.0,19.0,34.3,10.5,3.61,0.09,0.25,0.09,-2.8,-3.2,15128.0,18713.0,80.8,289965.0,100913.0,6448.0,7190.0,89.7,6269.0,7187.0,87.2,2168.0,3690.0,58.8,-4.4,286.0,956.0,240.0,62.0,1203.0,16805.0,1908.0,555.0,42.0,2543.0,506.0,401.0,169.0,55.0,78.0,15.0,12885.0,2278.0,3550.0,6767.0,9941.0,549.0,820.0,307.0,31.0,287.0,428.0,415.0,630.0,16.58,454.0,48.0,44.0,26.0,38.0,57.0,1.5,34.0,7.0,4.0,4.0,7.0,1.0,718.0,460.0,337.0,303.0,78.0,238.0,728.0,32.7,490.0,6168.0,1795.0,29.1,2101.0,2848.0,1219.0,532.0,101.0,0.0,431.0,438.0,855.0,8.0,23291.0,2045.0,7459.0,11988.0,5299.0,654.0,21424.0,429.0,774.0,55.4,469.0,22.0,15042.0,71788.0,37242.0,1454.0,491.0,107.0,17933.0,15128.0,84.4,508.0,536.0,1.0,463.0,486.0,43.0,6.0,8.0,1.0,3225.0,490.0,585.0,45.6
Bordeaux,28.0,49.7,38.0,418.0,3420.0,41.0,32.0,4.0,4.0,78.0,4.0,1.08,0.84,1.92,0.97,1.82,41.9,38.9,30.2,1.1,0.8,1.9,1.02,1.82,38.0,38.0,3420.0,57.0,1.5,148.0,98.0,66.2,13.0,6.0,19.0,14.0,36.8,8.0,7.0,1.0,0.0,38.0,2.0,6.0,1.0,46.6,0.27,-8.4,-0.22,318.0,690.0,46.1,1035.0,144.0,47.3,39.2,291.0,68.7,50.5,324.0,18.0,5.6,21.0,0.55,13.8,413.0,138.0,20.0,33.4,10.87,3.63,0.09,0.27,0.1,-0.9,-1.9,16031.0,19434.0,82.5,315078.0,102148.0,6502.0,7244.0,89.8,6861.0,7779.0,88.2,2394.0,3730.0,64.2,1.8,308.0,902.0,200.0,64.0,995.0,17526.0,1908.0,537.0,26.0,2642.0,536.0,373.0,175.0,69.0,43.0,27.0,13889.0,2254.0,3291.0,6144.0,11196.0,637.0,810.0,223.0,37.0,313.0,360.0,421.0,675.0,17.76,440.0,71.0,59.0,32.0,51.0,70.0,1.84,42.0,9.0,6.0,5.0,8.0,0.0,615.0,413.0,328.0,224.0,63.0,223.0,624.0,35.7,401.0,5254.0,1546.0,29.4,1797.0,2417.0,1040.0,544.0,134.0,1.0,410.0,438.0,830.0,9.0,23804.0,2538.0,8314.0,12189.0,4746.0,652.0,21948.0,422.0,734.0,57.5,453.0,20.0,15697.0,79456.0,41766.0,1539.0,404.0,125.0,18641.0,16031.0,86.0,493.0,491.0,2.0,472.0,489.0,48.0,3.0,7.0,1.0,2931.0,588.0,543.0,52.0
Brest,26.0,49.3,38.0,418.0,3420.0,47.0,31.0,3.0,4.0,62.0,4.0,1.24,0.82,2.05,1.16,1.97,47.5,44.4,33.7,1.25,0.89,2.14,1.17,2.06,38.0,38.0,3420.0,66.0,1.74,169.0,111.0,66.3,11.0,8.0,19.0,7.0,18.4,11.0,9.0,1.0,1.0,38.0,1.0,6.0,2.0,57.4,0.3,-6.6,-0.17,235.0,492.0,47.8,1050.0,178.0,37.2,36.8,304.0,33.2,34.8,369.0,29.0,7.9,17.0,0.45,13.0,444.0,157.0,22.0,35.4,11.68,4.13,0.1,0.28,0.1,-0.5,-0.4,15584.0,19278.0,80.8,319837.0,105090.0,5645.0,6480.0,87.1,6966.0,7959.0,87.5,2682.0,4136.0,64.8,-2.7,339.0,1060.0,306.0,115.0,1219.0,17342.0,1936.0,495.0,27.0,2453.0,594.0,488.0,179.0,89.0,35.0,13.0,12932.0,2600.0,3746.0,5306.0,11693.0,633.0,853.0,241.0,55.0,382.0,381.0,427.0,735.0,19.34,515.0,75.0,44.0,39.0,47.0,75.0,1.97,51.0,6.0,4.0,7.0,6.0,1.0,697.0,436.0,386.0,258.0,53.0,216.0,580.0,37.2,364.0,5858.0,1659.0,28.3,2160.0,2500.0,1198.0,539.0,126.0,1.0,413.0,372.0,931.0,8.0,23580.0,2902.0,8829.0,10744.0,5586.0,794.0,21702.0,396.0,636.0,62.3,417.0,24.0,15145.0,79202.0,44314.0,1486.0,505.0,120.0,18221.0,15584.0,85.5,472.0,373.0,1.0,497.0,438.0,63.0,4.0,11.0,2.0,3027.0,725.0,587.0,55.3
Dijon,33.0,46.2,38.0,418.0,3420.0,25.0,15.0,3.0,5.0,76.0,5.0,0.66,0.39,1.05,0.58,0.97,31.5,27.7,20.3,0.83,0.53,1.36,0.73,1.26,38.0,38.0,3420.0,73.0,1.92,181.0,115.0,63.5,4.0,9.0,25.0,6.0,15.8,10.0,7.0,2.0,1.0,38.0,1.0,10.0,2.0,66.6,0.33,-4.4,-0.12,221.0,629.0,35.1,900.0,197.0,44.4,37.8,349.0,65.6,48.7,382.0,25.0,6.5,26.0,0.68,14.4,346.0,88.0,9.0,25.4,9.11,2.32,0.06,0.25,0.08,-6.5,-5.7,14134.0,17866.0,79.1,281152.0,97095.0,5457.0,6246.0,87.4,6161.0,7148.0,86.2,2262.0,3836.0,59.0,-5.3,252.0,877.0,195.0,55.0,1036.0,15934.0,1932.0,497.0,23.0,2375.0,492.0,319.0,146.0,66.0,68.0,6.0,12194.0,2259.0,3413.0,4569.0,11161.0,650.0,829.0,290.0,50.0,334.0,417.0,431.0,527.0,13.87,352.0,61.0,41.0,28.0,32.0,34.0,0.89,19.0,3.0,3.0,6.0,2.0,1.0,691.0,440.0,380.0,253.0,58.0,250.0,686.0,36.4,436.0,5386.0,1561.0,29.0,1889.0,2517.0,980.0,543.0,125.0,4.0,418.0,509.0,843.0,13.0,22256.0,2722.0,8585.0,10902.0,4245.0,576.0,20399.0,433.0,693.0,62.5,462.0,19.0,13530.0,68648.0,36551.0,1297.0,367.0,82.0,17003.0,14134.0,83.1,512.0,520.0,1.0,521.0,429.0,58.0,4.0,10.0,4.0,3066.0,562.0,625.0,47.3
Lens,27.0,51.4,38.0,418.0,3420.0,53.0,35.0,10.0,12.0,94.0,7.0,1.39,0.92,2.32,1.13,2.05,56.0,46.9,34.7,1.47,0.91,2.39,1.23,2.15,38.0,38.0,3420.0,54.0,1.42,134.0,92.0,67.9,15.0,12.0,11.0,8.0,21.1,12.0,11.0,1.0,0.0,38.0,0.0,7.0,3.0,50.5,0.31,-0.5,-0.01,206.0,535.0,38.5,790.0,138.0,51.6,41.3,268.0,47.4,40.0,285.0,18.0,6.3,22.0,0.58,14.8,441.0,135.0,22.0,30.6,11.61,3.55,0.1,0.32,0.11,-3.0,-3.9,15307.0,18909.0,81.0,308556.0,97897.0,5725.0,6569.0,87.2,6915.0,7912.0,87.4,2420.0,3774.0,64.1,0.3,321.0,1103.0,278.0,95.0,1399.0,17076.0,1833.0,494.0,27.0,2549.0,612.0,475.0,193.0,95.0,57.0,14.0,13248.0,2222.0,3439.0,5412.0,11336.0,688.0,785.0,219.0,46.0,355.0,381.0,451.0,725.0,19.08,507.0,63.0,52.0,37.0,47.0,96.0,2.53,61.0,8.0,7.0,6.0,11.0,3.0,703.0,404.0,312.0,304.0,87.0,225.0,568.0,39.6,343.0,4981.0,1558.0,31.3,1631.0,2269.0,1081.0,580.0,106.0,2.0,474.0,460.0,907.0,8.0,23406.0,2248.0,7274.0,12308.0,5418.0,755.0,21620.0,376.0,620.0,60.6,397.0,16.0,14685.0,84098.0,49511.0,1872.0,470.0,110.0,18072.0,15307.0,84.7,504.0,463.0,5.0,545.0,473.0,49.0,11.0,10.0,3.0,3106.0,690.0,658.0,51.2
Lille,21.0,53.9,38.0,418.0,3420.0,62.0,39.0,5.0,5.0,68.0,2.0,1.63,1.03,2.66,1.5,2.53,50.0,46.2,36.1,1.32,0.95,2.27,1.22,2.17,38.0,38.0,3420.0,23.0,0.61,107.0,86.0,79.4,24.0,11.0,3.0,21.0,55.3,2.0,1.0,1.0,0.0,38.0,0.0,7.0,2.0,25.8,0.23,4.8,0.13,153.0,437.0,35.0,832.0,191.0,34.9,35.3,238.0,61.8,52.2,286.0,23.0,8.0,26.0,0.68,15.5,481.0,174.0,21.0,36.2,12.66,4.58,0.12,0.33,0.1,12.0,10.8,18028.0,21792.0,82.7,344587.0,108204.0,7593.0,8448.0,89.9,7616.0,8655.0,88.0,2484.0,3920.0,63.4,2.9,358.0,1482.0,271.0,64.0,1527.0,20004.0,1788.0,461.0,47.0,2506.0,601.0,367.0,184.0,75.0,85.0,16.0,15765.0,2514.0,3513.0,7068.0,12486.0,705.0,843.0,296.0,59.0,298.0,495.0,447.0,769.0,20.24,561.0,59.0,50.0,37.0,44.0,97.0,2.55,69.0,3.0,7.0,10.0,7.0,1.0,702.0,452.0,304.0,294.0,104.0,247.0,680.0,36.3,433.0,5401.0,1629.0,30.2,1489.0,2518.0,1394.0,537.0,109.0,1.0,428.0,411.0,798.0,5.0,26131.0,2083.0,7434.0,13846.0,6538.0,820.0,24406.0,391.0,671.0,58.3,417.0,29.0,17088.0,85177.0,46429.0,1973.0,534.0,149.0,20916.0,18028.0,86.2,473.0,506.0,1.0,490.0,459.0,67.0,5.0,2.0,2.0,3373.0,612.0,572.0,51.7
Lorient,27.0,44.6,38.0,418.0,3420.0,48.0,26.0,9.0,10.0,69.0,3.0,1.26,0.68,1.95,1.03,1.71,48.8,41.6,31.2,1.29,0.82,2.11,1.09,1.91,38.0,38.0,3420.0,69.0,1.82,159.0,102.0,62.9,11.0,9.0,18.0,5.0,13.2,12.0,10.0,1.0,1.0,38.0,1.0,6.0,1.0,52.0,0.28,-15.0,-0.39,192.0,556.0,34.5,695.0,151.0,48.8,40.4,305.0,71.1,52.3,291.0,16.0,5.5,20.0,0.53,14.1,421.0,133.0,30.0,31.6,11.08,3.5,0.09,0.29,0.1,-0.8,-2.6,13405.0,17012.0,78.8,261419.0,90023.0,5452.0,6194.0,88.0,5710.0,6643.0,86.0,2002.0,3524.0,56.8,-5.2,286.0,853.0,200.0,59.0,1040.0,15142.0,1870.0,481.0,33.0,2465.0,466.0,353.0,176.0,66.0,68.0,19.0,11169.0,2396.0,3447.0,3830.0,11183.0,608.0,802.0,229.0,44.0,386.0,421.0,398.0,653.0,17.18,439.0,58.0,41.0,39.0,57.0,78.0,2.05,45.0,5.0,4.0,10.0,12.0,2.0,803.0,482.0,389.0,342.0,72.0,287.0,828.0,34.7,541.0,5679.0,1641.0,28.9,1997.0,2713.0,969.0,571.0,135.0,2.0,436.0,482.0,929.0,5.0,21702.0,2127.0,7653.0,10925.0,4440.0,571.0,19863.0,314.0,544.0,57.7,343.0,14.0,13066.0,63705.0,35276.0,1329.0,412.0,98.0,16016.0,13405.0,83.7,549.0,482.0,1.0,479.0,474.0,50.0,9.0,10.0,1.0,3078.0,537.0,579.0,48.1
Lyon,29.0,54.9,38.0,418.0,3420.0,76.0,46.0,11.0,11.0,66.0,10.0,2.0,1.21,3.21,1.71,2.92,84.6,76.4,55.0,2.23,1.45,3.67,2.01,3.46,38.0,38.0,3420.0,43.0,1.13,130.0,94.0,70.8,22.0,10.0,6.0,11.0,28.9,8.0,5.0,2.0,1.0,38.0,2.0,4.0,2.0,43.2,0.3,2.2,0.06,214.0,407.0,52.6,926.0,181.0,32.7,33.4,250.0,41.6,36.8,308.0,16.0,5.2,39.0,1.03,17.1,603.0,222.0,23.0,36.8,15.87,5.84,0.11,0.29,0.13,-8.6,-11.4,17819.0,21299.0,83.7,341108.0,114598.0,7383.0,8248.0,89.5,7564.0,8601.0,87.9,2531.0,3681.0,68.8,-9.0,443.0,1391.0,423.0,76.0,1739.0,19445.0,1854.0,479.0,56.0,2705.0,537.0,515.0,232.0,49.0,86.0,14.0,15833.0,2351.0,3115.0,5034.0,14227.0,579.0,812.0,276.0,56.0,289.0,481.0,483.0,1003.0,26.39,714.0,80.0,69.0,53.0,57.0,138.0,3.63,91.0,6.0,12.0,9.0,16.0,4.0,695.0,449.0,297.0,287.0,111.0,229.0,641.0,35.7,412.0,5012.0,1543.0,30.8,1465.0,2237.0,1310.0,547.0,135.0,4.0,412.0,402.0,758.0,16.0,25826.0,2292.0,7318.0,13057.0,7071.0,1193.0,24046.0,482.0,775.0,62.2,518.0,30.0,16970.0,86470.0,50014.0,2093.0,586.0,216.0,20543.0,17819.0,86.7,511.0,477.0,3.0,486.0,451.0,65.0,11.0,7.0,2.0,3292.0,565.0,457.0,55.3
Marseille,31.0,53.9,38.0,418.0,3420.0,53.0,45.0,4.0,7.0,98.0,9.0,1.39,1.18,2.58,1.29,2.47,47.5,42.2,34.5,1.25,0.91,2.16,1.11,2.02,38.0,38.0,3420.0,47.0,1.24,131.0,87.0,66.4,16.0,12.0,10.0,8.0,21.1,3.0,3.0,0.0,0.0,38.0,1.0,8.0,1.0,45.3,0.34,-0.7,-0.02,203.0,563.0,36.1,1056.0,194.0,37.5,35.2,293.0,57.0,44.4,375.0,27.0,7.2,23.0,0.61,14.0,373.0,131.0,16.0,35.1,9.82,3.45,0.13,0.37,0.12,5.5,6.8,16646.0,20480.0,81.3,317553.0,103496.0,7071.0,7962.0,88.8,6968.0,7949.0,87.7,2266.0,3781.0,59.9,10.5,286.0,1153.0,235.0,55.0,1231.0,18509.0,1971.0,576.0,33.0,2402.0,592.0,446.0,174.0,93.0,59.0,12.0,14144.0,2614.0,3722.0,5766.0,12469.0,694.0,841.0,280.0,46.0,355.0,421.0,456.0,612.0,16.11,430.0,62.0,30.0,26.0,47.0,92.0,2.42,60.0,10.0,4.0,4.0,11.0,3.0,778.0,468.0,357.0,315.0,106.0,301.0,744.0,40.5,443.0,5256.0,1609.0,30.6,1721.0,2412.0,1123.0,547.0,118.0,0.0,429.0,427.0,880.0,7.0,24777.0,2583.0,8236.0,12872.0,5137.0,709.0,22888.0,341.0,585.0,58.3,368.0,17.0,15585.0,76443.0,42510.0,1649.0,401.0,134.0,19689.0,16646.0,84.5,429.0,453.0,2.0,504.0,476.0,57.0,3.0,3.0,1.0,3071.0,583.0,559.0,51.1
Metz,27.0,45.3,38.0,418.0,3420.0,42.0,28.0,7.0,11.0,84.0,4.0,1.11,0.74,1.84,0.92,1.66,41.3,33.2,25.6,1.09,0.67,1.76,0.87,1.55,38.0,38.0,3419.0,49.0,1.29,137.0,100.0,73.0,12.0,11.0,15.0,8.0,21.1,13.0,12.0,1.0,0.0,38.0,1.0,6.0,1.0,49.7,0.28,2.7,0.07,282.0,649.0,43.5,819.0,216.0,51.4,42.0,318.0,71.7,53.7,351.0,42.0,12.0,39.0,1.03,16.5,423.0,129.0,30.0,30.5,11.13,3.39,0.08,0.27,0.08,0.7,1.8,13269.0,16773.0,79.1,269761.0,90255.0,5103.0,5815.0,87.8,5788.0,6716.0,86.2,2173.0,3713.0,58.5,2.4,308.0,880.0,203.0,66.0,963.0,14996.0,1777.0,501.0,25.0,2357.0,594.0,431.0,160.0,44.0,68.0,10.0,11144.0,2111.0,3518.0,3033.0,11735.0,607.0,712.0,272.0,44.0,356.0,332.0,369.0,685.0,18.03,461.0,67.0,44.0,31.0,62.0,72.0,1.89,47.0,2.0,7.0,5.0,8.0,3.0,770.0,462.0,428.0,275.0,67.0,273.0,724.0,37.7,451.0,5416.0,1658.0,30.6,1987.0,2444.0,985.0,597.0,128.0,5.0,469.0,450.0,1037.0,13.0,21596.0,2305.0,7846.0,10639.0,4610.0,610.0,19876.0,436.0,724.0,60.2,468.0,23.0,13406.0,75863.0,41114.0,1544.0,527.0,110.0,15948.0,13269.0,83.2,533.0,527.0,1.0,524.0,476.0,50.0,6.0,12.0,2.0,3199.0,623.0,604.0,50.8
