squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Angers,23.0,49.8,19.0,209.0,1710.0,24.0,15.0,5.0,5.0,30.0,0.0,1.26,0.79,2.05,1.0,1.79,23.1,19.3,13.3,1.22,0.7,1.92,1.02,1.72,19.0,19.0,1710.0,27.0,1.42,66.0,44.0,66.7,6.0,7.0,6.0,5.0,26.3,6.0,5.0,1.0,0.0,19.0,2.0,6.0,0.0,23.8,0.3,-3.2,-0.17,75.0,172.0,43.6,372.0,119.0,30.4,33.8,138.0,42.8,38.8,184.0,21.0,11.4,13.0,0.68,14.3,195.0,64.0,10.0,32.8,10.26,3.37,0.1,0.3,0.11,0.9,-0.3,8121.0,9647.0,84.2,164221.0,52182.0,2879.0,3233.0,89.1,3805.0,4238.0,89.8,1286.0,1853.0,69.4,1.7,140.0,496.0,92.0,31.0,555.0,8756.0,891.0,267.0,6.0,1257.0,328.0,172.0,104.0,20.0,49.0,4.0,7088.0,1084.0,1475.0,3387.0,5335.0,287.0,336.0,165.0,19.0,130.0,250.0,184.0,313.0,16.47,208.0,33.0,23.0,13.0,25.0,35.0,1.84,19.0,4.0,1.0,6.0,5.0,0.0,371.0,234.0,188.0,149.0,34.0,146.0,353.0,41.4,207.0,2877.0,834.0,29.0,987.0,1280.0,610.0,286.0,46.0,0.0,240.0,280.0,294.0,5.0,11974.0,1190.0,4247.0,6003.0,2484.0,350.0,11108.0,227.0,432.0,52.5,251.0,27.0,8051.0,39409.0,21272.0,785.0,228.0,68.0,9144.0,8121.0,88.8,268.0,295.0,0.0,219.0,233.0,23.0,4.0,5.0,0.0,1416.0,192.0,271.0,41.5
Bordeaux,28.0,47.3,19.0,209.0,1710.0,28.0,22.0,1.0,1.0,38.0,1.0,1.47,1.16,2.63,1.42,2.58,21.6,20.9,16.1,1.14,0.85,1.99,1.1,1.95,19.0,19.0,1710.0,43.0,2.26,96.0,58.0,60.4,3.0,8.0,8.0,0.0,0.0,5.0,5.0,0.0,0.0,19.0,0.0,5.0,0.0,34.1,0.31,-8.9,-0.47,164.0,378.0,43.4,533.0,56.0,49.3,40.5,153.0,75.2,54.3,147.0,12.0,8.2,17.0,0.89,16.1,229.0,76.0,11.0,33.2,12.05,4.0,0.12,0.36,0.09,6.4,6.1,7009.0,8721.0,80.4,143109.0,49263.0,2691.0,3059.0,88.0,3008.0,3466.0,86.8,1181.0,1887.0,62.6,5.9,165.0,454.0,123.0,30.0,543.0,7773.0,948.0,236.0,12.0,1230.0,304.0,184.0,81.0,49.0,13.0,6.0,5943.0,1103.0,1675.0,2048.0,5701.0,280.0,416.0,90.0,23.0,167.0,272.0,207.0,353.0,18.58,252.0,34.0,21.0,19.0,16.0,42.0,2.21,33.0,3.0,2.0,2.0,2.0,0.0,343.0,222.0,168.0,135.0,40.0,128.0,352.0,36.4,224.0,2764.0,796.0,28.8,927.0,1271.0,566.0,268.0,66.0,2.0,202.0,367.0,342.0,6.0,10969.0,1261.0,4012.0,5383.0,2301.0,362.0,10045.0,176.0,332.0,53.0,195.0,15.0,7012.0,36818.0,19535.0,670.0,207.0,67.0,8200.0,7009.0,85.5,252.0,245.0,0.0,210.0,202.0,26.0,0.0,5.0,0.0,1384.0,243.0,273.0,47.1
Brest,23.0,41.6,19.0,209.0,1710.0,26.0,15.0,5.0,5.0,31.0,0.0,1.37,0.79,2.16,1.11,1.89,23.5,19.7,15.1,1.24,0.79,2.03,1.04,1.83,19.0,19.0,1710.0,28.0,1.47,77.0,51.0,64.9,6.0,7.0,6.0,3.0,15.8,1.0,1.0,0.0,0.0,19.0,0.0,4.0,2.0,21.2,0.27,-4.8,-0.25,158.0,324.0,48.8,436.0,103.0,48.9,41.6,152.0,73.0,54.7,153.0,14.0,9.2,6.0,0.32,13.6,204.0,71.0,6.0,34.8,10.74,3.74,0.1,0.3,0.1,2.5,1.3,6272.0,8015.0,78.3,129196.0,48648.0,2433.0,2840.0,85.7,2599.0,3090.0,84.1,1115.0,1761.0,63.3,-0.1,157.0,495.0,148.0,49.0,570.0,7118.0,897.0,216.0,12.0,1183.0,280.0,238.0,77.0,37.0,23.0,6.0,5109.0,1080.0,1826.0,2214.0,4632.0,310.0,405.0,136.0,22.0,148.0,249.0,180.0,333.0,17.53,243.0,35.0,15.0,16.0,17.0,36.0,1.89,21.0,4.0,2.0,4.0,4.0,1.0,373.0,250.0,202.0,127.0,44.0,113.0,309.0,36.6,196.0,3173.0,950.0,29.9,1088.0,1470.0,615.0,260.0,62.0,2.0,198.0,338.0,407.0,3.0,10288.0,1222.0,3685.0,4623.0,2660.0,412.0,9406.0,166.0,330.0,50.3,183.0,17.0,6281.0,34400.0,19914.0,714.0,249.0,75.0,7510.0,6272.0,83.5,258.0,229.0,0.0,225.0,185.0,24.0,2.0,1.0,2.0,1422.0,404.0,304.0,57.1
Clermont Foot,24.0,51.4,18.0,198.0,1620.0,18.0,14.0,1.0,1.0,25.0,4.0,1.0,0.78,1.78,0.94,1.72,21.4,20.7,17.2,1.19,0.95,2.14,1.15,2.1,18.0,18.0,1620.0,32.0,1.78,66.0,37.0,54.5,4.0,5.0,9.0,4.0,22.2,2.0,2.0,0.0,0.0,18.0,0.0,5.0,2.0,20.6,0.3,-9.4,-0.52,58.0,191.0,30.4,380.0,71.0,34.2,34.7,126.0,48.4,38.1,112.0,4.0,3.6,9.0,0.5,13.2,212.0,66.0,6.0,31.1,11.78,3.67,0.08,0.26,0.1,-3.4,-3.7,8030.0,9710.0,82.7,150152.0,48215.0,3500.0,3930.0,89.1,3351.0,3818.0,87.8,1045.0,1647.0,63.4,-3.2,154.0,496.0,118.0,44.0,551.0,8830.0,880.0,237.0,10.0,1241.0,264.0,207.0,86.0,33.0,31.0,8.0,7005.0,1218.0,1487.0,2889.0,5883.0,299.0,378.0,101.0,20.0,155.0,305.0,208.0,328.0,18.22,230.0,30.0,31.0,13.0,15.0,32.0,1.78,22.0,4.0,2.0,2.0,2.0,0.0,348.0,242.0,163.0,142.0,43.0,136.0,317.0,42.9,181.0,2556.0,831.0,32.5,821.0,1216.0,519.0,248.0,47.0,1.0,201.0,249.0,259.0,5.0,11687.0,1121.0,4351.0,5548.0,2493.0,374.0,10840.0,176.0,314.0,56.1,193.0,20.0,7832.0,37112.0,19594.0,710.0,194.0,70.0,9141.0,8030.0,87.8,202.0,245.0,1.0,172.0,226.0,22.0,0.0,2.0,2.0,1384.0,223.0,234.0,48.8
Lens,26.0,49.8,19.0,209.0,1710.0,32.0,22.0,3.0,3.0,41.0,3.0,1.68,1.16,2.84,1.53,2.68,30.9,28.8,22.7,1.63,1.19,2.82,1.51,2.71,19.0,19.0,1710.0,28.0,1.47,71.0,45.0,63.4,7.0,6.0,6.0,4.0,21.1,2.0,2.0,0.0,0.0,19.0,1.0,2.0,0.0,24.2,0.33,-3.8,-0.2,86.0,206.0,41.7,390.0,94.0,38.2,35.0,138.0,41.3,36.4,151.0,18.0,11.9,14.0,0.74,13.7,256.0,98.0,7.0,38.3,13.47,5.16,0.11,0.3,0.12,1.1,0.2,8147.0,9771.0,83.4,157122.0,50259.0,3240.0,3656.0,88.6,3674.0,4128.0,89.0,1092.0,1671.0,65.4,-0.7,187.0,555.0,146.0,39.0,679.0,8940.0,831.0,184.0,15.0,1153.0,287.0,200.0,100.0,36.0,48.0,3.0,7256.0,1076.0,1439.0,2329.0,6464.0,318.0,351.0,140.0,17.0,157.0,292.0,207.0,394.0,20.74,304.0,21.0,24.0,22.0,13.0,50.0,2.63,38.0,1.0,2.0,5.0,2.0,2.0,310.0,188.0,139.0,139.0,32.0,93.0,270.0,34.4,177.0,2770.0,780.0,28.2,807.0,1291.0,672.0,243.0,58.0,1.0,185.0,307.0,285.0,3.0,11791.0,1117.0,3427.0,6479.0,2743.0,389.0,10982.0,163.0,285.0,57.2,178.0,8.0,7608.0,41774.0,23582.0,953.0,293.0,61.0,9332.0,8147.0,87.3,252.0,196.0,0.0,230.0,161.0,21.0,1.0,2.0,0.0,1348.0,225.0,207.0,52.1
Lille,22.0,50.8,19.0,209.0,1710.0,24.0,16.0,4.0,5.0,49.0,1.0,1.26,0.84,2.11,1.05,1.89,28.1,24.4,18.8,1.48,0.99,2.47,1.28,2.27,19.0,19.0,1710.0,26.0,1.37,77.0,52.0,68.8,7.0,7.0,5.0,2.0,10.5,3.0,2.0,1.0,0.0,19.0,1.0,6.0,0.0,23.5,0.29,-2.5,-0.13,104.0,269.0,38.7,403.0,84.0,45.7,39.3,143.0,59.4,46.3,174.0,18.0,10.3,12.0,0.63,14.6,212.0,69.0,7.0,32.5,11.16,3.63,0.09,0.29,0.12,-4.1,-4.4,7478.0,9383.0,79.7,145733.0,48438.0,3096.0,3546.0,87.3,3052.0,3554.0,85.9,1173.0,1869.0,62.8,-2.8,158.0,533.0,154.0,31.0,657.0,8419.0,964.0,244.0,15.0,1354.0,293.0,194.0,101.0,43.0,37.0,5.0,6423.0,1342.0,1618.0,2489.0,5763.0,325.0,432.0,136.0,42.0,179.0,338.0,234.0,334.0,17.58,239.0,34.0,17.0,18.0,17.0,39.0,2.05,24.0,4.0,3.0,1.0,6.0,1.0,368.0,231.0,179.0,154.0,35.0,124.0,326.0,38.0,202.0,2749.0,836.0,30.4,861.0,1288.0,600.0,281.0,60.0,1.0,221.0,277.0,368.0,1.0,11580.0,1190.0,3853.0,5844.0,2627.0,450.0,10643.0,160.0,297.0,53.9,173.0,15.0,7098.0,37227.0,21285.0,778.0,213.0,76.0,8830.0,7478.0,84.7,291.0,201.0,0.0,206.0,226.0,45.0,5.0,2.0,0.0,1548.0,320.0,268.0,54.4
Lorient,26.0,44.1,19.0,209.0,1710.0,14.0,8.0,2.0,2.0,38.0,4.0,0.74,0.42,1.16,0.63,1.05,20.8,19.2,15.8,1.09,0.83,1.93,1.01,1.85,19.0,19.0,1710.0,31.0,1.63,75.0,49.0,64.0,3.0,7.0,9.0,3.0,15.8,5.0,4.0,0.0,1.0,19.0,3.0,3.0,1.0,27.2,0.32,-2.8,-0.15,76.0,295.0,25.8,330.0,65.0,52.7,44.2,158.0,76.6,59.8,182.0,5.0,2.7,7.0,0.37,13.2,197.0,62.0,13.0,31.5,10.37,3.26,0.06,0.19,0.1,-6.8,-7.2,6515.0,8327.0,78.2,131654.0,43272.0,2500.0,2881.0,86.8,2835.0,3314.0,85.5,1070.0,1809.0,59.1,-7.8,144.0,462.0,94.0,39.0,527.0,7438.0,889.0,221.0,14.0,1319.0,297.0,195.0,80.0,30.0,23.0,11.0,5493.0,1173.0,1661.0,2232.0,5148.0,293.0,381.0,103.0,20.0,181.0,265.0,232.0,313.0,16.47,222.0,29.0,12.0,10.0,22.0,25.0,1.32,14.0,2.0,1.0,1.0,5.0,2.0,377.0,232.0,182.0,154.0,41.0,139.0,366.0,38.0,227.0,3073.0,908.0,29.5,1095.0,1444.0,534.0,253.0,58.0,0.0,195.0,330.0,415.0,5.0,10545.0,1102.0,3693.0,5224.0,2279.0,287.0,9672.0,169.0,303.0,55.8,179.0,9.0,6428.0,31453.0,17245.0,680.0,206.0,61.0,7741.0,6515.0,84.2,239.0,220.0,3.0,220.0,204.0,22.0,2.0,5.0,2.0,1502.0,240.0,301.0,44.4
Lyon,25.0,59.5,19.0,198.0,1620.0,26.0,16.0,4.0,4.0,37.0,5.0,1.44,0.89,2.33,1.22,2.11,30.4,27.5,20.3,1.69,1.13,2.81,1.53,2.65,19.0,19.0,1618.0,26.0,1.45,94.0,75.0,76.6,6.0,7.0,5.0,4.0,21.1,4.0,4.0,0.0,0.0,18.0,1.0,3.0,3.0,25.5,0.24,2.5,0.14,76.0,154.0,49.4,455.0,87.0,24.8,30.7,129.0,31.8,33.2,146.0,6.0,4.1,16.0,0.89,15.8,245.0,90.0,10.0,36.7,13.61,5.0,0.09,0.24,0.11,-4.4,-5.5,9430.0,10981.0,85.9,176589.0,54050.0,4034.0,4418.0,91.3,3887.0,4298.0,90.4,1295.0,1859.0,69.7,-4.3,179.0,631.0,144.0,34.0,691.0,10111.0,870.0,230.0,29.0,1332.0,266.0,179.0,93.0,32.0,34.0,6.0,8423.0,1179.0,1379.0,3124.0,6937.0,262.0,374.0,141.0,23.0,124.0,303.0,167.0,407.0,22.61,306.0,26.0,22.0,25.0,19.0,42.0,2.33,29.0,2.0,1.0,6.0,4.0,0.0,362.0,236.0,156.0,159.0,47.0,137.0,323.0,42.4,186.0,2607.0,809.0,31.0,771.0,1200.0,636.0,240.0,55.0,6.0,185.0,294.0,340.0,8.0,13255.0,1190.0,4075.0,6837.0,3174.0,441.0,12414.0,205.0,367.0,55.9,222.0,16.0,8931.0,43023.0,23558.0,900.0,265.0,92.0,10654.0,9430.0,88.5,266.0,247.0,2.0,200.0,196.0,26.0,4.0,4.0,3.0,1374.0,241.0,233.0,50.8
Marseille,23.0,62.0,19.0,198.0,1620.0,25.0,20.0,2.0,2.0,30.0,3.0,1.39,1.11,2.5,1.28,2.39,25.6,24.1,20.2,1.42,1.12,2.54,1.34,2.46,19.0,19.0,1620.0,15.0,0.83,51.0,38.0,76.5,9.0,6.0,3.0,9.0,47.4,3.0,3.0,0.0,0.0,18.0,0.0,3.0,1.0,14.5,0.24,0.5,0.03,83.0,182.0,45.6,603.0,85.0,24.4,29.6,116.0,30.2,32.8,115.0,14.0,12.2,17.0,0.94,16.1,235.0,68.0,16.0,28.9,13.06,3.78,0.1,0.34,0.1,-0.6,-1.1,10082.0,11484.0,87.8,191896.0,53408.0,4138.0,4487.0,92.2,4512.0,4919.0,91.7,1303.0,1805.0,72.2,-0.2,188.0,727.0,158.0,41.0,685.0,10653.0,831.0,249.0,22.0,1364.0,340.0,198.0,93.0,50.0,30.0,3.0,9078.0,1140.0,1266.0,3496.0,7168.0,219.0,337.0,132.0,22.0,130.0,267.0,177.0,411.0,22.83,291.0,43.0,24.0,23.0,22.0,48.0,2.67,31.0,3.0,5.0,3.0,4.0,2.0,285.0,182.0,132.0,121.0,32.0,94.0,235.0,40.0,141.0,2158.0,678.0,31.4,660.0,935.0,563.0,220.0,40.0,0.0,180.0,233.0,224.0,1.0,13359.0,1157.0,4045.0,6995.0,3231.0,465.0,12561.0,160.0,274.0,58.4,169.0,20.0,9590.0,48570.0,27267.0,1118.0,288.0,103.0,11123.0,10082.0,90.6,211.0,255.0,1.0,151.0,207.0,25.0,2.0,3.0,1.0,1252.0,192.0,163.0,54.1
Metz,29.0,40.8,19.0,209.0,1710.0,21.0,12.0,1.0,1.0,46.0,4.0,1.11,0.63,1.74,1.05,1.68,16.6,15.8,9.7,0.87,0.51,1.38,0.83,1.34,19.0,19.0,1710.0,39.0,2.05,87.0,52.0,58.6,3.0,7.0,9.0,2.0,10.5,3.0,3.0,0.0,0.0,19.0,1.0,4.0,2.0,32.2,0.34,-4.8,-0.25,145.0,345.0,42.0,365.0,107.0,57.5,46.2,155.0,87.1,62.3,169.0,24.0,14.2,19.0,1.0,15.3,191.0,69.0,6.0,36.1,10.05,3.63,0.1,0.29,0.08,4.4,4.2,5797.0,7475.0,77.6,116545.0,40794.0,2285.0,2647.0,86.3,2503.0,2934.0,85.3,893.0,1595.0,56.0,2.3,136.0,378.0,75.0,36.0,385.0,6593.0,882.0,252.0,14.0,928.0,237.0,183.0,76.0,19.0,42.0,1.0,4875.0,986.0,1614.0,1407.0,5043.0,311.0,343.0,137.0,22.0,156.0,255.0,188.0,292.0,15.37,200.0,32.0,16.0,18.0,15.0,31.0,1.63,20.0,2.0,2.0,2.0,5.0,0.0,413.0,253.0,208.0,167.0,38.0,139.0,321.0,43.3,182.0,3035.0,909.0,30.0,1143.0,1377.0,515.0,344.0,82.0,3.0,262.0,361.0,395.0,4.0,9933.0,1135.0,3621.0,4892.0,2056.0,247.0,9086.0,163.0,308.0,52.9,181.0,20.0,5864.0,30969.0,16705.0,634.0,185.0,46.0,7046.0,5797.0,82.3,275.0,239.0,1.0,248.0,219.0,25.0,1.0,3.0,2.0,1413.0,302.0,284.0,51.5
