player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36.0,36.0,3195.0,3.0,2.0,0.0,0.0,3.0,0.0,0.08,0.06,0.14,0.08,0.14,2.7,2.7,3.5,0.08,0.1,0.17,0.08,0.17,35.5,45.0,12.0,0.0,26.7,1.27,0.34,0.07,0.25,0.06,0.3,0.3,1596.0,1973.0,80.9,26721.0,11614.0,813.0,925.0,87.9,610.0,737.0,82.8,146.0,246.0,59.3,-1.5,31.0,114.0,63.0,10.0,216.0,1609.0,364.0,50.0,5.0,242.0,27.0,56.0,2.0,0.0,2.0,0.0,1322.0,346.0,305.0,1291.0,320.0,42.0,312.0,4.0,3.0,34.0,62.0,51.0,70.0,1.97,59.0,5.0,1.0,3.0,2.0,7.0,0.2,5.0,1.0,0.0,1.0,0.0,0.0,51.0,34.0,36.0,11.0,4.0,18.0,44.0,40.9,26.0,377.0,116.0,30.8,267.0,79.0,31.0,58.0,10.0,0.0,48.0,51.0,91.0,1.0,2319.0,141.0,685.0,1075.0,696.0,79.0,1962.0,26.0,44.0,59.1,27.0,1.0,1432.0,7235.0,4127.0,205.0,62.0,19.0,1465.0,1356.0,92.6,29.0,18.0,0.0,12.0,18.0,11.0,0.0,0.0,0.0,325.0,13.0,12.0,52.0
Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33.0,31.0,2459.0,21.0,8.0,2.0,2.0,4.0,0.0,0.77,0.29,1.06,0.7,0.99,19.6,18.1,5.3,0.72,0.19,0.91,0.66,0.86,27.3,113.0,41.0,3.0,36.3,4.14,1.5,0.17,0.46,0.16,1.4,0.9,653.0,774.0,84.4,9134.0,1599.0,391.0,446.0,87.7,207.0,240.0,86.3,27.0,39.0,69.2,2.7,33.0,37.0,41.0,0.0,63.0,725.0,49.0,0.0,3.0,197.0,3.0,15.0,1.0,0.0,0.0,0.0,589.0,125.0,60.0,72.0,656.0,20.0,8.0,10.0,3.0,9.0,18.0,22.0,72.0,2.64,49.0,1.0,6.0,8.0,7.0,17.0,0.62,12.0,0.0,2.0,1.0,2.0,0.0,17.0,14.0,2.0,6.0,9.0,3.0,10.0,30.0,7.0,436.0,116.0,26.6,26.0,153.0,257.0,19.0,5.0,0.0,14.0,11.0,2.0,0.0,1137.0,5.0,26.0,432.0,771.0,245.0,1085.0,32.0,55.0,58.2,35.0,4.0,857.0,4490.0,2418.0,138.0,54.0,36.0,1387.0,885.0,63.8,73.0,66.0,0.0,22.0,31.0,26.0,0.0,0.0,0.0,126.0,13.0,17.0,43.3
Nathan Aké,nl NED,DF,Bournemouth,23,1995,38.0,38.0,3411.0,4.0,0.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,3.2,3.2,0.7,0.08,0.02,0.1,0.08,0.1,37.9,22.0,8.0,0.0,36.4,0.58,0.21,0.18,0.5,0.15,0.8,0.8,1465.0,1689.0,86.7,30199.0,10701.0,457.0,513.0,89.1,778.0,847.0,91.9,220.0,299.0,73.6,-0.7,4.0,83.0,5.0,2.0,66.0,1603.0,86.0,56.0,0.0,216.0,35.0,7.0,0.0,0.0,0.0,0.0,1292.0,158.0,239.0,1281.0,232.0,99.0,30.0,7.0,0.0,34.0,20.0,18.0,13.0,0.34,11.0,0.0,0.0,1.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,63.0,41.0,43.0,17.0,3.0,18.0,36.0,50.0,18.0,396.0,121.0,30.6,279.0,104.0,13.0,74.0,42.0,2.0,32.0,46.0,242.0,0.0,2151.0,364.0,1358.0,780.0,141.0,44.0,2071.0,3.0,6.0,50.0,3.0,0.0,1228.0,6745.0,3514.0,57.0,21.0,0.0,1356.0,1288.0,95.0,16.0,5.0,0.0,27.0,24.0,2.0,1.0,1.0,0.0,316.0,76.0,58.0,56.7
Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27.0,18.0,1625.0,2.0,2.0,0.0,0.0,3.0,0.0,0.11,0.11,0.22,0.11,0.22,1.2,1.2,2.8,0.07,0.16,0.22,0.07,0.22,18.1,20.0,7.0,0.0,35.0,1.11,0.39,0.1,0.29,0.06,0.8,0.8,458.0,771.0,59.4,8844.0,3613.0,229.0,290.0,79.0,139.0,221.0,62.9,78.0,199.0,39.2,-0.8,29.0,47.0,30.0,15.0,80.0,737.0,34.0,6.0,1.0,192.0,38.0,83.0,10.0,2.0,2.0,1.0,412.0,116.0,243.0,59.0,657.0,28.0,17.0,2.0,11.0,23.0,28.0,64.0,40.0,2.22,35.0,2.0,0.0,2.0,0.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0,18.0,15.0,5.0,16.0,49.0,32.7,33.0,388.0,104.0,26.8,136.0,161.0,91.0,30.0,3.0,0.0,27.0,23.0,20.0,0.0,996.0,43.0,199.0,432.0,426.0,27.0,965.0,24.0,52.0,46.2,27.0,4.0,753.0,3711.0,1649.0,86.0,27.0,3.0,829.0,669.0,80.7,23.0,37.0,0.0,12.0,22.0,2.0,0.0,0.0,0.0,162.0,12.0,16.0,42.9
Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34.0,33.0,2922.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.6,0.04,0.02,0.06,0.04,0.06,32.5,18.0,6.0,0.0,33.3,0.55,0.18,0.0,0.0,0.07,-1.2,-1.2,2077.0,2336.0,88.9,50476.0,15053.0,460.0,485.0,94.8,1097.0,1156.0,94.9,514.0,680.0,75.6,-0.6,7.0,189.0,26.0,1.0,123.0,2253.0,83.0,75.0,3.0,173.0,106.0,5.0,0.0,0.0,0.0,0.0,1700.0,185.0,451.0,445.0,1761.0,101.0,8.0,9.0,7.0,41.0,17.0,10.0,29.0,0.89,23.0,0.0,1.0,5.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,41.0,21.0,31.0,9.0,1.0,9.0,29.0,31.0,20.0,214.0,71.0,33.2,131.0,73.0,10.0,52.0,26.0,1.0,26.0,35.0,170.0,1.0,2650.0,304.0,1409.0,1308.0,119.0,22.0,2569.0,2.0,5.0,40.0,2.0,0.0,1793.0,9385.0,4852.0,115.0,26.0,0.0,1939.0,1910.0,98.5,2.0,3.0,0.0,14.0,2.0,1.0,0.0,1.0,1.0,335.0,36.0,43.0,45.6
Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29.0,27.0,2462.0,1.0,12.0,0.0,0.0,3.0,0.0,0.04,0.44,0.48,0.04,0.48,1.4,1.4,6.3,0.05,0.23,0.28,0.05,0.28,27.4,29.0,9.0,9.0,31.0,1.06,0.33,0.03,0.11,0.05,-0.4,-0.4,1655.0,2222.0,74.5,34936.0,13570.0,598.0,684.0,87.4,752.0,924.0,81.4,291.0,553.0,52.6,5.7,48.0,131.0,59.0,27.0,191.0,1781.0,441.0,46.0,5.0,288.0,114.0,114.0,73.0,24.0,21.0,2.0,1160.0,330.0,732.0,182.0,1668.0,46.0,322.0,2.0,12.0,67.0,38.0,82.0,85.0,3.11,54.0,23.0,5.0,1.0,1.0,17.0,0.62,13.0,4.0,0.0,0.0,0.0,0.0,58.0,28.0,29.0,20.0,9.0,26.0,73.0,35.6,47.0,359.0,116.0,32.3,168.0,124.0,67.0,33.0,3.0,1.0,30.0,44.0,71.0,1.0,2514.0,85.0,589.0,1193.0,860.0,44.0,2068.0,19.0,37.0,51.4,21.0,3.0,1595.0,6032.0,3533.0,162.0,53.0,5.0,1655.0,1553.0,93.8,29.0,17.0,0.0,16.0,7.0,4.0,0.0,0.0,0.0,280.0,7.0,20.0,25.9
Alisson,br BRA,GK,Liverpool,25,1992,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,1268.0,82.6,30643.0,16858.0,114.0,116.0,98.3,570.0,578.0,98.6,362.0,572.0,63.3,0.0,0.0,10.0,1.0,0.0,0.0,970.0,298.0,85.0,0.0,146.0,66.0,0.0,0.0,0.0,0.0,0.0,801.0,95.0,372.0,99.0,930.0,1.0,0.0,196.0,2.0,32.0,8.0,2.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,2.0,0.05,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1346.0,1137.0,1339.0,9.0,0.0,0.0,1049.0,1.0,1.0,100.0,1.0,0.0,764.0,2792.0,1571.0,1.0,0.0,0.0,675.0,675.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,218.0,1.0,0.0,100.0
Dele Alli,eng ENG,MF,Tottenham,22,1996,25.0,22.0,1825.0,5.0,3.0,0.0,0.0,4.0,0.0,0.25,0.15,0.39,0.25,0.39,5.9,5.9,2.7,0.29,0.14,0.42,0.29,0.42,20.3,39.0,18.0,1.0,46.2,1.92,0.89,0.13,0.28,0.15,-0.9,-0.9,838.0,1050.0,79.8,13744.0,3258.0,415.0,486.0,85.4,336.0,396.0,84.8,63.0,103.0,61.2,0.3,28.0,77.0,37.0,3.0,96.0,1015.0,35.0,10.0,14.0,207.0,18.0,19.0,3.0,0.0,1.0,0.0,807.0,108.0,135.0,47.0,938.0,37.0,11.0,7.0,7.0,14.0,32.0,37.0,62.0,3.06,45.0,1.0,5.0,3.0,5.0,5.0,0.25,3.0,0.0,0.0,1.0,1.0,0.0,31.0,21.0,5.0,15.0,11.0,8.0,30.0,26.7,22.0,419.0,123.0,29.4,107.0,196.0,116.0,38.0,5.0,1.0,33.0,19.0,17.0,0.0,1326.0,33.0,175.0,674.0,564.0,106.0,1292.0,31.0,64.0,48.4,38.0,8.0,980.0,4636.0,2372.0,111.0,34.0,13.0,1234.0,962.0,78.0,41.0,30.0,0.0,24.0,28.0,3.0,0.0,0.0,0.0,193.0,13.0,20.0,39.4
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,24,1994,10.0,9.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.6,0.8,0.2,0.1,0.3,0.19,0.29,8.4,19.0,8.0,0.0,42.1,2.25,0.95,0.0,0.0,0.09,-1.7,-1.6,188.0,260.0,72.3,3320.0,863.0,91.0,109.0,83.5,67.0,87.0,77.0,26.0,40.0,65.0,-0.8,12.0,16.0,14.0,9.0,19.0,256.0,4.0,0.0,2.0,71.0,13.0,19.0,1.0,0.0,1.0,0.0,189.0,40.0,31.0,235.0,11.0,9.0,1.0,2.0,0.0,5.0,7.0,15.0,28.0,3.32,22.0,0.0,1.0,2.0,2.0,2.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0,17.0,11.0,6.0,9.0,2.0,3.0,11.0,27.3,8.0,231.0,61.0,26.4,43.0,130.0,58.0,16.0,2.0,0.0,14.0,4.0,5.0,0.0,384.0,9.0,60.0,168.0,199.0,30.0,380.0,7.0,16.0,43.8,10.0,4.0,294.0,2195.0,1388.0,65.0,24.0,9.0,391.0,242.0,61.9,21.0,14.0,0.0,7.0,19.0,4.0,0.0,0.0,0.0,84.0,4.0,8.0,33.3
Marcos Alonso,es ESP,DF,Chelsea,27,1990,31.0,31.0,2759.0,2.0,4.0,0.0,0.0,6.0,0.0,0.07,0.13,0.2,0.07,0.2,2.8,2.8,3.5,0.09,0.11,0.21,0.09,0.21,30.7,43.0,7.0,8.0,16.3,1.4,0.23,0.05,0.29,0.06,-0.8,-0.8,1843.0,2222.0,82.9,29006.0,9706.0,991.0,1083.0,91.5,711.0,848.0,83.8,107.0,214.0,50.0,0.5,31.0,117.0,22.0,9.0,135.0,1935.0,287.0,26.0,3.0,343.0,48.0,79.0,0.0,0.0,0.0,0.0,1535.0,370.0,317.0,1668.0,176.0,75.0,261.0,7.0,4.0,40.0,57.0,58.0,60.0,1.96,52.0,1.0,0.0,4.0,3.0,10.0,0.33,6.0,0.0,0.0,2.0,2.0,0.0,69.0,39.0,42.0,21.0,6.0,20.0,53.0,37.7,33.0,481.0,135.0,28.1,249.0,152.0,80.0,61.0,5.0,0.0,56.0,41.0,100.0,1.0,2624.0,119.0,715.0,1180.0,893.0,83.0,2333.0,26.0,39.0,66.7,29.0,0.0,1734.0,8402.0,5087.0,253.0,72.0,7.0,1874.0,1697.0,90.6,24.0,43.0,0.0,29.0,42.0,2.0,2.0,1.0,0.0,324.0,62.0,45.0,57.9
