squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,25.0,55.2,38.0,418.0,3420.0,57.0,38.0,5.0,9.0,0.0,0.0,1.5,1.0,2.5,1.37,2.37,67.4,60.7,43.5,1.77,1.14,2.92,1.6,2.74,38.0,38.0,3420.0,39.0,1.03,118.0,80.0,67.8,16.0,12.0,10.0,11.0,28.9,2.0,1.0,1.0,0.0,38.0,2.0,4.0,0.0,33.5,0.27,-5.5,-0.14,230.0,497.0,46.3,735.0,184.0,39.7,36.8,254.0,80.7,56.8,300.0,16.0,5.3,20.0,0.53,14.8,582.0,196.0,13.0,33.7,15.32,5.16,0.09,0.27,0.11,-10.4,-8.7,16813.0,20966.0,80.2,337538.0,111390.0,6204.0,7232.0,85.8,7730.0,9016.0,85.7,2645.0,4112.0,64.3,0.5,435.0,1376.0,464.0,93.0,1700.0,19111.0,1855.0,473.0,21.0,3404.0,731.0,489.0,228.0,59.0,68.0,19.0,13731.0,2959.0,4276.0,5773.0,12867.0,829.0,828.0,279.0,68.0,441.0,375.0,509.0,929.0,24.45,663.0,82.0,67.0,65.0,37.0,95.0,2.5,64.0,5.0,10.0,8.0,7.0,1.0,762.0,469.0,354.0,325.0,83.0,217.0,702.0,30.9,485.0,6213.0,1985.0,31.9,1864.0,3021.0,1328.0,612.0,116.0,0.0,496.0,338.0,883.0,4.0,25771.0,2066.0,7492.0,12493.0,7535.0,1202.0,23989.0,485.0,740.0,65.5,522.0,16.0,17534.0,93137.0,49108.0,2095.0,667.0,187.0,19093.0,16813.0,88.1,553.0,554.0,3.0,470.0,475.0,82.0,9.0,2.0,0.0,3940.0,567.0,547.0,50.9
Benevento,41.0,47.7,38.0,418.0,3420.0,32.0,23.0,2.0,3.0,0.0,0.0,0.84,0.61,1.45,0.79,1.39,39.1,36.9,27.6,1.03,0.73,1.75,0.97,1.7,38.0,38.0,3418.0,89.0,2.34,203.0,130.0,61.1,6.0,3.0,29.0,4.0,10.5,13.0,10.0,0.0,3.0,38.0,1.0,10.0,2.0,77.2,0.35,-4.8,-0.13,236.0,636.0,37.1,959.0,200.0,45.6,39.7,312.0,63.8,49.8,424.0,51.0,12.0,30.0,0.79,14.5,470.0,146.0,23.0,31.1,12.37,3.84,0.06,0.21,0.08,-7.1,-6.9,14168.0,17812.0,79.5,279120.0,92879.0,5628.0,6423.0,87.6,6292.0,7265.0,86.6,2098.0,3659.0,57.3,-2.6,339.0,937.0,213.0,76.0,1040.0,16066.0,1746.0,490.0,16.0,2907.0,509.0,422.0,163.0,48.0,24.0,12.0,11931.0,2262.0,3619.0,6316.0,9705.0,544.0,665.0,281.0,75.0,370.0,257.0,428.0,713.0,18.76,506.0,65.0,53.0,37.0,37.0,54.0,1.42,34.0,6.0,2.0,7.0,4.0,1.0,634.0,409.0,351.0,217.0,66.0,198.0,645.0,30.7,447.0,5613.0,1574.0,28.0,2231.0,2357.0,1025.0,568.0,150.0,2.0,418.0,300.0,751.0,13.0,22160.0,2698.0,8463.0,10498.0,4844.0,663.0,20460.0,467.0,747.0,62.5,515.0,30.0,14874.0,84429.0,47024.0,1597.0,492.0,133.0,16300.0,14168.0,86.9,472.0,470.0,4.0,472.0,468.0,83.0,2.0,11.0,2.0,3271.0,364.0,464.0,44.0
Bologna,30.0,47.2,38.0,418.0,3420.0,37.0,18.0,2.0,3.0,0.0,0.0,0.97,0.47,1.45,0.92,1.39,37.1,34.9,23.3,0.98,0.61,1.59,0.92,1.53,38.0,38.0,3420.0,52.0,1.37,164.0,116.0,70.1,11.0,6.0,21.0,8.0,21.1,4.0,3.0,0.0,1.0,38.0,1.0,6.0,3.0,48.4,0.28,-0.6,-0.02,412.0,826.0,49.9,1072.0,167.0,52.2,42.3,342.0,77.8,54.6,454.0,31.0,6.8,37.0,0.97,15.0,353.0,120.0,31.0,34.0,9.29,3.16,0.1,0.29,0.1,-0.1,0.1,13638.0,17602.0,77.5,276434.0,100889.0,5351.0,6247.0,85.7,5733.0,6803.0,84.3,2324.0,3954.0,58.8,-1.3,239.0,964.0,247.0,60.0,1136.0,15743.0,1859.0,496.0,17.0,2898.0,538.0,303.0,149.0,79.0,10.0,10.0,10642.0,2690.0,4270.0,4608.0,10552.0,891.0,787.0,262.0,60.0,422.0,262.0,459.0,549.0,14.45,393.0,34.0,35.0,27.0,50.0,54.0,1.42,30.0,4.0,4.0,9.0,7.0,0.0,706.0,446.0,373.0,260.0,73.0,269.0,687.0,39.2,418.0,6239.0,1749.0,28.0,2441.0,2703.0,1095.0,659.0,132.0,2.0,527.0,248.0,933.0,5.0,22199.0,2656.0,8070.0,10637.0,4846.0,621.0,20366.0,400.0,632.0,63.3,430.0,19.0,14001.0,71084.0,37754.0,1391.0,418.0,92.0,15943.0,13638.0,85.5,558.0,461.0,4.0,476.0,466.0,65.0,2.0,4.0,3.0,3466.0,583.0,525.0,52.6
Cagliari,29.0,45.2,38.0,418.0,3420.0,33.0,21.0,4.0,7.0,0.0,0.0,0.87,0.55,1.42,0.76,1.32,40.1,34.8,25.4,1.05,0.67,1.72,0.91,1.58,38.0,38.0,3420.0,61.0,1.61,162.0,108.0,67.3,11.0,6.0,21.0,8.0,21.1,12.0,8.0,2.0,2.0,38.0,4.0,4.0,1.0,60.0,0.32,0.0,0.0,287.0,660.0,43.5,696.0,152.0,53.7,41.7,338.0,84.6,58.0,412.0,36.0,8.7,15.0,0.39,13.4,378.0,115.0,16.0,30.4,9.95,3.03,0.08,0.25,0.09,-7.1,-5.8,12167.0,16636.0,73.1,245407.0,93621.0,4898.0,5855.0,83.7,5025.0,6342.0,79.2,2035.0,3899.0,52.2,-2.4,267.0,989.0,278.0,101.0,1115.0,14680.0,1956.0,496.0,13.0,2616.0,554.0,446.0,177.0,44.0,54.0,13.0,8712.0,2708.0,5216.0,3436.0,10462.0,1014.0,835.0,319.0,75.0,394.0,246.0,431.0,562.0,14.79,399.0,68.0,22.0,33.0,30.0,49.0,1.29,32.0,5.0,2.0,5.0,3.0,2.0,729.0,442.0,377.0,265.0,87.0,197.0,616.0,32.0,419.0,5851.0,1743.0,29.8,2124.0,2523.0,1204.0,567.0,127.0,1.0,440.0,273.0,981.0,7.0,20989.0,2325.0,7222.0,10018.0,4876.0,745.0,19087.0,283.0,484.0,58.5,317.0,11.0,12282.0,58722.0,30667.0,1146.0,348.0,88.0,14590.0,12167.0,83.4,475.0,393.0,4.0,580.0,462.0,90.0,5.0,12.0,1.0,3696.0,767.0,666.0,53.5
Chievo,25.0,44.3,38.0,418.0,3420.0,36.0,20.0,1.0,2.0,0.0,0.0,0.95,0.53,1.47,0.92,1.45,32.3,30.8,22.2,0.85,0.58,1.43,0.81,1.39,38.0,38.0,3420.0,59.0,1.55,180.0,126.0,69.4,10.0,10.0,18.0,7.0,18.4,8.0,4.0,3.0,1.0,38.0,2.0,13.0,4.0,55.9,0.28,0.9,0.02,257.0,653.0,39.4,774.0,170.0,51.0,39.7,361.0,71.5,46.2,434.0,16.0,3.7,14.0,0.37,12.6,396.0,137.0,8.0,34.6,10.42,3.61,0.09,0.26,0.08,3.7,4.2,12575.0,16824.0,74.7,255651.0,94911.0,4867.0,5752.0,84.6,5375.0,6544.0,82.1,2189.0,4056.0,54.0,5.8,299.0,960.0,310.0,111.0,1226.0,14979.0,1845.0,498.0,10.0,2494.0,588.0,522.0,146.0,52.0,31.0,24.0,9444.0,2571.0,4809.0,4053.0,10436.0,869.0,749.0,294.0,95.0,374.0,244.0,417.0,596.0,15.68,454.0,51.0,34.0,18.0,29.0,60.0,1.58,42.0,7.0,2.0,4.0,3.0,2.0,651.0,391.0,325.0,237.0,89.0,219.0,639.0,34.3,420.0,6246.0,1601.0,25.6,2281.0,2672.0,1293.0,682.0,175.0,2.0,507.0,303.0,1054.0,5.0,21317.0,2548.0,7249.0,10009.0,5301.0,695.0,19519.0,289.0,476.0,60.7,307.0,7.0,12956.0,64259.0,32815.0,1201.0,433.0,71.0,14883.0,12575.0,84.5,414.0,417.0,1.0,449.0,458.0,95.0,2.0,7.0,4.0,3638.0,614.0,641.0,48.9
Crotone,29.0,40.1,38.0,418.0,3420.0,38.0,21.0,2.0,3.0,0.0,0.0,1.0,0.55,1.55,0.95,1.5,36.2,33.8,24.0,0.95,0.63,1.58,0.89,1.52,38.0,38.0,3420.0,66.0,1.74,199.0,138.0,69.8,9.0,8.0,21.0,5.0,13.2,8.0,6.0,1.0,1.0,38.0,3.0,11.0,0.0,64.5,0.3,-1.5,-0.04,304.0,884.0,34.4,781.0,95.0,72.3,51.6,338.0,94.4,62.3,428.0,21.0,4.9,26.0,0.68,14.4,385.0,136.0,11.0,35.3,10.13,3.58,0.09,0.26,0.09,1.8,2.2,10311.0,14840.0,69.5,208395.0,86869.0,4019.0,5025.0,80.0,4464.0,5706.0,78.2,1656.0,3558.0,46.5,2.0,256.0,884.0,234.0,74.0,1111.0,13039.0,1801.0,472.0,9.0,2431.0,410.0,391.0,132.0,49.0,13.0,14.0,7272.0,2781.0,4787.0,5191.0,7112.0,1006.0,766.0,212.0,77.0,412.0,234.0,486.0,554.0,14.58,384.0,63.0,22.0,30.0,40.0,64.0,1.68,46.0,3.0,0.0,9.0,5.0,1.0,691.0,409.0,338.0,269.0,84.0,189.0,683.0,27.7,494.0,6270.0,1613.0,25.7,2166.0,2881.0,1223.0,666.0,137.0,3.0,529.0,362.0,1079.0,12.0,19532.0,2466.0,6946.0,9134.0,4539.0,632.0,17762.0,292.0,502.0,58.2,318.0,15.0,11130.0,54891.0,29330.0,1083.0,378.0,80.0,12906.0,10311.0,79.9,548.0,401.0,1.0,478.0,474.0,85.0,2.0,7.0,0.0,3929.0,622.0,680.0,47.8
Fiorentina,27.0,52.6,38.0,418.0,3420.0,53.0,32.0,7.0,8.0,0.0,0.0,1.39,0.84,2.24,1.21,2.05,57.2,51.3,37.1,1.51,0.98,2.48,1.35,2.32,38.0,38.0,3419.0,46.0,1.21,152.0,105.0,71.1,16.0,9.0,13.0,14.0,36.8,3.0,2.0,1.0,0.0,38.0,3.0,6.0,0.0,46.7,0.3,0.7,0.02,162.0,420.0,38.6,785.0,190.0,37.7,35.4,243.0,51.0,42.6,338.0,41.0,12.1,12.0,0.32,13.7,624.0,185.0,20.0,29.6,16.42,4.87,0.07,0.25,0.08,-4.2,-5.3,15290.0,19375.0,78.9,300312.0,104764.0,5672.0,6639.0,85.4,7266.0,8405.0,86.4,2158.0,3796.0,56.8,-3.1,463.0,1200.0,350.0,96.0,1503.0,17622.0,1753.0,421.0,22.0,2972.0,558.0,486.0,210.0,30.0,79.0,21.0,12230.0,2967.0,4178.0,5625.0,11372.0,896.0,802.0,283.0,69.0,415.0,266.0,460.0,965.0,25.39,725.0,77.0,52.0,47.0,37.0,92.0,2.42,65.0,4.0,7.0,6.0,8.0,2.0,782.0,496.0,365.0,299.0,118.0,234.0,697.0,33.6,463.0,6122.0,1846.0,30.2,1833.0,2801.0,1488.0,641.0,88.0,2.0,553.0,334.0,864.0,8.0,24197.0,2173.0,7374.0,12146.0,6138.0,928.0,22481.0,388.0,655.0,59.2,416.0,21.0,15866.0,77591.0,42668.0,1647.0,546.0,140.0,17491.0,15290.0,87.4,481.0,474.0,3.0,509.0,444.0,83.0,6.0,3.0,0.0,3825.0,524.0,625.0,45.6
Genoa,33.0,46.3,38.0,418.0,3420.0,31.0,18.0,4.0,5.0,0.0,0.0,0.82,0.47,1.29,0.71,1.18,43.3,39.5,31.8,1.14,0.84,1.98,1.04,1.88,38.0,38.0,3420.0,43.0,1.13,170.0,133.0,77.1,11.0,8.0,19.0,12.0,31.6,4.0,4.0,0.0,0.0,38.0,1.0,2.0,2.0,45.1,0.25,4.1,0.11,330.0,807.0,40.9,890.0,115.0,58.0,44.0,328.0,88.7,60.1,376.0,21.0,5.6,20.0,0.53,13.9,421.0,125.0,11.0,29.7,11.08,3.29,0.06,0.22,0.1,-12.3,-12.5,13218.0,17522.0,75.4,263512.0,94545.0,5238.0,6195.0,84.6,5762.0,6935.0,83.1,2047.0,3869.0,52.9,-10.8,313.0,992.0,306.0,79.0,1264.0,15699.0,1823.0,462.0,20.0,2485.0,493.0,464.0,179.0,54.0,34.0,16.0,10565.0,2366.0,4591.0,6313.0,8842.0,884.0,777.0,236.0,79.0,391.0,286.0,480.0,671.0,17.66,513.0,51.0,36.0,38.0,24.0,47.0,1.24,35.0,3.0,1.0,3.0,4.0,1.0,603.0,407.0,303.0,240.0,60.0,178.0,566.0,31.4,388.0,6025.0,1739.0,28.9,2119.0,2821.0,1085.0,561.0,126.0,4.0,435.0,306.0,882.0,12.0,21766.0,2297.0,7053.0,10466.0,5668.0,792.0,19990.0,343.0,535.0,64.1,377.0,26.0,13850.0,71018.0,39489.0,1553.0,538.0,102.0,15695.0,13218.0,84.2,491.0,447.0,0.0,528.0,481.0,86.0,5.0,4.0,2.0,3716.0,572.0,608.0,48.5
Hellas Verona,32.0,41.8,38.0,418.0,3420.0,30.0,19.0,7.0,7.0,0.0,0.0,0.79,0.5,1.29,0.61,1.11,34.5,29.4,20.9,0.91,0.55,1.46,0.77,1.32,38.0,38.0,3420.0,78.0,2.05,257.0,186.0,72.0,7.0,4.0,27.0,7.0,18.4,8.0,6.0,2.0,0.0,38.0,4.0,10.0,2.0,82.9,0.3,6.9,0.18,384.0,928.0,41.4,1024.0,232.0,58.4,44.2,382.0,86.4,59.6,487.0,50.0,10.3,22.0,0.58,13.8,362.0,92.0,20.0,25.4,9.53,2.42,0.06,0.25,0.08,-4.5,-6.4,11493.0,15515.0,74.1,233720.0,85245.0,4685.0,5591.0,83.8,4661.0,5722.0,81.5,1959.0,3679.0,53.2,-4.9,237.0,763.0,192.0,64.0,944.0,13725.0,1790.0,411.0,8.0,2432.0,581.0,405.0,139.0,23.0,33.0,16.0,8526.0,2826.0,4163.0,4572.0,8689.0,781.0,748.0,325.0,69.0,405.0,244.0,457.0,528.0,13.89,357.0,51.0,42.0,28.0,35.0,42.0,1.11,26.0,2.0,2.0,7.0,4.0,1.0,711.0,446.0,377.0,255.0,79.0,224.0,671.0,33.4,447.0,5655.0,1513.0,26.8,2125.0,2465.0,1065.0,600.0,164.0,6.0,436.0,340.0,1014.0,11.0,20117.0,3000.0,8022.0,9000.0,4434.0,552.0,18376.0,426.0,691.0,61.6,468.0,30.0,12339.0,66956.0,35989.0,1230.0,431.0,98.0,13890.0,11493.0,82.7,486.0,463.0,4.0,519.0,412.0,84.0,3.0,8.0,2.0,3422.0,493.0,531.0,48.1
Inter,22.0,56.9,38.0,418.0,3420.0,64.0,34.0,6.0,7.0,0.0,0.0,1.68,0.89,2.58,1.53,2.42,60.8,55.6,44.4,1.6,1.17,2.77,1.46,2.63,38.0,38.0,3420.0,30.0,0.79,119.0,94.0,76.5,20.0,12.0,6.0,17.0,44.7,2.0,2.0,0.0,0.0,38.0,1.0,2.0,4.0,33.1,0.26,7.1,0.19,167.0,321.0,52.0,781.0,234.0,24.7,28.5,268.0,47.8,39.1,369.0,21.0,5.7,10.0,0.26,12.9,584.0,202.0,13.0,34.6,15.37,5.32,0.1,0.29,0.1,3.2,2.4,18750.0,22639.0,82.8,348644.0,115080.0,8128.0,9077.0,89.5,7957.0,9135.0,87.1,2405.0,3811.0,63.1,-2.4,448.0,1423.0,388.0,120.0,1488.0,20919.0,1720.0,387.0,21.0,3462.0,636.0,691.0,275.0,59.0,55.0,37.0,15709.0,3085.0,3845.0,4231.0,16232.0,782.0,726.0,364.0,83.0,334.0,332.0,489.0,929.0,24.45,711.0,86.0,45.0,39.0,36.0,101.0,2.66,64.0,11.0,4.0,10.0,11.0,1.0,694.0,443.0,350.0,266.0,78.0,243.0,664.0,36.6,421.0,5815.0,1650.0,28.4,1775.0,2562.0,1478.0,532.0,123.0,1.0,409.0,262.0,749.0,6.0,26783.0,2330.0,7788.0,13556.0,7207.0,1048.0,25126.0,393.0,665.0,59.1,436.0,26.0,18563.0,96054.0,53678.0,2109.0,668.0,176.0,21016.0,18750.0,89.2,422.0,369.0,0.0,440.0,402.0,97.0,6.0,2.0,3.0,3424.0,489.0,449.0,52.1
