squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Atalanta,27.0,57.8,38.0,418.0,3420.0,75.0,60.0,2.0,4.0,62.0,3.0,1.97,1.58,3.55,1.92,3.5,66.9,63.9,50.2,1.76,1.32,3.08,1.68,3.0,38.0,38.0,3420.0,46.0,1.21,132.0,93.0,68.2,20.0,9.0,9.0,9.0,23.7,5.0,4.0,0.0,1.0,38.0,3.0,6.0,3.0,41.3,0.29,-1.7,-0.04,199.0,491.0,40.5,802.0,175.0,35.7,35.3,261.0,78.5,56.6,297.0,28.0,9.4,33.0,0.87,15.9,642.0,211.0,16.0,32.9,16.89,5.55,0.11,0.35,0.1,8.1,9.1,18178.0,22052.0,82.4,345298.0,110648.0,7446.0,8452.0,88.1,8140.0,9284.0,87.7,2343.0,3658.0,64.1,9.8,493.0,1326.0,474.0,100.0,1690.0,20093.0,1959.0,565.0,64.0,3441.0,613.0,500.0,241.0,35.0,24.0,17.0,15984.0,2678.0,3390.0,6438.0,13412.0,821.0,810.0,245.0,62.0,324.0,371.0,501.0,1041.0,27.39,768.0,87.0,80.0,58.0,27.0,132.0,3.47,98.0,9.0,11.0,9.0,3.0,2.0,708.0,470.0,337.0,284.0,87.0,286.0,718.0,39.8,432.0,5905.0,1777.0,30.1,1747.0,2780.0,1378.0,575.0,104.0,2.0,471.0,405.0,749.0,9.0,26745.0,2067.0,7426.0,12846.0,8423.0,1275.0,24884.0,492.0,812.0,60.6,523.0,25.0,19054.0,103379.0,55613.0,2483.0,835.0,219.0,20896.0,18178.0,87.0,530.0,507.0,1.0,453.0,508.0,72.0,3.0,5.0,3.0,3708.0,486.0,473.0,50.7
Bologna,29.0,44.7,38.0,418.0,3420.0,45.0,35.0,5.0,5.0,91.0,6.0,1.18,0.92,2.11,1.05,1.97,47.4,43.6,30.8,1.25,0.81,2.06,1.15,1.96,38.0,38.0,3420.0,56.0,1.47,173.0,121.0,69.9,11.0,11.0,16.0,10.0,26.3,4.0,4.0,0.0,0.0,38.0,1.0,5.0,1.0,50.4,0.28,-4.6,-0.12,265.0,607.0,43.7,783.0,221.0,48.5,40.8,343.0,66.2,51.3,406.0,41.0,10.1,9.0,0.24,12.3,495.0,159.0,23.0,32.1,13.03,4.18,0.08,0.25,0.09,-2.4,-3.6,12116.0,16034.0,75.6,244448.0,93105.0,4699.0,5479.0,85.8,5218.0,6375.0,81.9,2021.0,3599.0,56.2,4.2,344.0,970.0,265.0,90.0,1179.0,14024.0,2010.0,549.0,32.0,2553.0,443.0,471.0,201.0,46.0,10.0,14.0,9736.0,2275.0,4023.0,3970.0,9588.0,842.0,824.0,312.0,68.0,346.0,256.0,480.0,753.0,19.82,532.0,78.0,36.0,50.0,44.0,77.0,2.03,54.0,10.0,2.0,4.0,5.0,2.0,692.0,420.0,379.0,235.0,78.0,241.0,675.0,35.7,434.0,6892.0,1768.0,25.7,2466.0,3025.0,1401.0,645.0,159.0,2.0,486.0,312.0,843.0,16.0,20538.0,2335.0,7012.0,9393.0,5506.0,820.0,18580.0,321.0,615.0,52.2,350.0,20.0,12688.0,69761.0,38945.0,1520.0,470.0,128.0,14902.0,12116.0,81.3,441.0,413.0,3.0,521.0,530.0,86.0,3.0,4.0,1.0,3374.0,623.0,613.0,50.4
Cagliari,30.0,50.0,38.0,418.0,3420.0,36.0,27.0,2.0,3.0,94.0,9.0,0.95,0.71,1.66,0.89,1.61,39.1,36.9,27.5,1.03,0.72,1.75,0.97,1.69,38.0,38.0,3420.0,54.0,1.42,195.0,147.0,76.4,10.0,11.0,17.0,7.0,18.4,10.0,8.0,2.0,0.0,38.0,1.0,5.0,2.0,56.5,0.25,4.5,0.12,356.0,766.0,46.5,891.0,172.0,53.5,42.0,361.0,80.1,58.2,449.0,34.0,7.6,11.0,0.29,12.9,433.0,124.0,12.0,28.6,11.39,3.26,0.08,0.27,0.09,-3.1,-2.9,14565.0,18873.0,77.2,286422.0,107492.0,6080.0,6993.0,86.9,5912.0,7115.0,83.1,2332.0,4103.0,56.8,-0.5,305.0,1006.0,310.0,87.0,1238.0,16877.0,1996.0,537.0,14.0,3283.0,554.0,491.0,189.0,24.0,30.0,6.0,11294.0,2720.0,4859.0,3592.0,12596.0,976.0,817.0,343.0,55.0,374.0,286.0,469.0,642.0,16.89,454.0,80.0,22.0,41.0,30.0,53.0,1.39,34.0,7.0,4.0,4.0,4.0,0.0,651.0,421.0,293.0,250.0,108.0,222.0,624.0,35.6,402.0,5728.0,1482.0,25.9,1894.0,2399.0,1435.0,604.0,133.0,1.0,471.0,257.0,858.0,12.0,23057.0,2531.0,7267.0,11360.0,5738.0,773.0,21147.0,261.0,478.0,54.6,284.0,11.0,14594.0,68773.0,35003.0,1363.0,443.0,80.0,17529.0,14565.0,83.1,461.0,388.0,5.0,580.0,464.0,62.0,3.0,9.0,2.0,3622.0,711.0,640.0,52.6
Chievo,36.0,43.1,38.0,418.0,3420.0,25.0,17.0,4.0,6.0,110.0,7.0,0.66,0.45,1.11,0.55,1.0,35.6,31.3,22.8,0.94,0.6,1.54,0.82,1.42,38.0,38.0,3420.0,75.0,1.97,210.0,139.0,65.2,2.0,14.0,22.0,7.0,18.4,4.0,2.0,2.0,0.0,38.0,2.0,10.0,2.0,65.4,0.3,-7.6,-0.2,302.0,666.0,45.3,772.0,127.0,54.1,41.8,343.0,72.3,47.5,419.0,17.0,4.1,9.0,0.24,11.9,388.0,112.0,13.0,28.9,10.21,2.95,0.05,0.19,0.08,-10.6,-10.3,12555.0,16534.0,75.9,256489.0,95611.0,4731.0,5522.0,85.7,5503.0,6641.0,82.9,2158.0,3831.0,56.3,-5.8,284.0,908.0,253.0,101.0,1082.0,14685.0,1849.0,522.0,23.0,2616.0,570.0,461.0,128.0,9.0,17.0,1.0,9760.0,2403.0,4371.0,4502.0,9701.0,880.0,748.0,254.0,66.0,377.0,292.0,438.0,597.0,15.71,439.0,57.0,31.0,31.0,32.0,36.0,0.95,24.0,2.0,1.0,5.0,3.0,1.0,687.0,460.0,354.0,257.0,76.0,249.0,711.0,35.0,462.0,7284.0,1728.0,23.7,2467.0,3369.0,1448.0,608.0,135.0,2.0,473.0,362.0,955.0,12.0,20785.0,2471.0,7540.0,9844.0,4617.0,581.0,18995.0,281.0,449.0,62.6,293.0,11.0,12933.0,62084.0,31865.0,1158.0,416.0,58.0,15300.0,12555.0,82.1,405.0,431.0,6.0,596.0,491.0,79.0,2.0,4.0,2.0,3289.0,551.0,583.0,48.6
Empoli,29.0,47.9,38.0,418.0,3420.0,48.0,36.0,4.0,7.0,73.0,3.0,1.26,0.95,2.21,1.16,2.11,52.0,46.7,34.0,1.37,0.89,2.26,1.23,2.12,38.0,38.0,3420.0,70.0,1.84,226.0,164.0,71.7,10.0,8.0,20.0,5.0,13.2,8.0,6.0,1.0,1.0,38.0,0.0,8.0,2.0,64.7,0.27,-3.3,-0.09,193.0,512.0,37.7,847.0,229.0,41.4,37.8,345.0,46.7,43.5,440.0,30.0,6.8,18.0,0.47,13.2,454.0,142.0,16.0,31.3,11.95,3.74,0.1,0.31,0.11,-4.0,-2.7,14685.0,18406.0,79.8,291865.0,99453.0,5623.0,6392.0,88.0,6660.0,7731.0,86.1,2234.0,3739.0,59.7,2.0,323.0,1207.0,340.0,63.0,1389.0,16475.0,1931.0,525.0,43.0,2796.0,634.0,434.0,187.0,16.0,17.0,11.0,12500.0,2311.0,3595.0,5775.0,10687.0,611.0,768.0,312.0,65.0,370.0,313.0,451.0,696.0,18.32,518.0,51.0,45.0,38.0,28.0,78.0,2.05,56.0,4.0,7.0,6.0,4.0,1.0,590.0,372.0,286.0,222.0,82.0,193.0,547.0,35.3,354.0,6206.0,1535.0,24.7,2292.0,2665.0,1249.0,555.0,148.0,4.0,407.0,270.0,758.0,5.0,22369.0,2522.0,7249.0,10442.0,6218.0,926.0,20508.0,367.0,610.0,60.2,393.0,20.0,15670.0,82911.0,47267.0,1847.0,566.0,153.0,17241.0,14685.0,85.2,431.0,387.0,1.0,464.0,447.0,78.0,5.0,8.0,2.0,3082.0,327.0,420.0,43.8
Fiorentina,27.0,50.7,38.0,418.0,3420.0,45.0,24.0,5.0,6.0,89.0,5.0,1.18,0.63,1.82,1.05,1.68,52.4,47.9,33.8,1.38,0.89,2.27,1.26,2.15,38.0,38.0,3420.0,45.0,1.18,136.0,98.0,70.6,8.0,17.0,13.0,9.0,23.7,6.0,5.0,1.0,0.0,38.0,1.0,6.0,3.0,39.5,0.25,-2.5,-0.07,204.0,565.0,36.1,884.0,185.0,45.0,39.9,296.0,56.4,47.1,390.0,29.0,7.4,34.0,0.89,15.1,577.0,175.0,16.0,30.3,15.18,4.61,0.07,0.23,0.08,-7.4,-7.9,13356.0,17251.0,77.4,273975.0,93697.0,4655.0,5517.0,84.4,6388.0,7498.0,85.2,2159.0,3752.0,57.5,-9.8,425.0,1092.0,312.0,89.0,1374.0,15342.0,1909.0,545.0,40.0,2440.0,531.0,505.0,233.0,25.0,30.0,10.0,11233.0,2202.0,3816.0,4950.0,10124.0,839.0,753.0,250.0,40.0,411.0,280.0,420.0,887.0,23.34,651.0,77.0,54.0,45.0,38.0,66.0,1.74,38.0,2.0,13.0,4.0,7.0,2.0,621.0,404.0,295.0,262.0,64.0,213.0,574.0,37.1,361.0,5521.0,1467.0,26.6,1800.0,2550.0,1171.0,594.0,136.0,3.0,458.0,326.0,901.0,8.0,21846.0,2284.0,6842.0,10875.0,5638.0,937.0,19990.0,364.0,641.0,56.8,403.0,29.0,14354.0,76616.0,43326.0,1778.0,547.0,163.0,15839.0,13356.0,84.3,454.0,483.0,2.0,564.0,514.0,48.0,5.0,4.0,3.0,3649.0,476.0,504.0,48.6
Frosinone,33.0,41.1,38.0,418.0,3420.0,28.0,21.0,4.0,5.0,99.0,2.0,0.74,0.55,1.29,0.63,1.18,35.5,31.7,24.7,0.93,0.65,1.58,0.84,1.49,38.0,38.0,3420.0,69.0,1.82,209.0,146.0,69.4,5.0,10.0,23.0,9.0,23.7,5.0,5.0,0.0,0.0,38.0,3.0,10.0,1.0,60.2,0.27,-7.8,-0.21,201.0,620.0,32.4,950.0,244.0,40.9,38.3,353.0,65.4,51.0,428.0,37.0,8.6,11.0,0.29,12.1,436.0,120.0,24.0,27.5,11.47,3.16,0.06,0.2,0.07,-7.5,-7.7,11524.0,15516.0,74.3,231244.0,86911.0,4456.0,5238.0,85.1,5035.0,6053.0,83.2,1856.0,3665.0,50.6,-3.7,310.0,788.0,249.0,124.0,991.0,13578.0,1938.0,577.0,17.0,2388.0,505.0,508.0,160.0,33.0,20.0,4.0,9124.0,2170.0,4222.0,4839.0,8542.0,714.0,742.0,332.0,67.0,314.0,239.0,475.0,662.0,17.42,472.0,75.0,31.0,30.0,43.0,46.0,1.21,29.0,5.0,3.0,5.0,4.0,0.0,596.0,385.0,336.0,197.0,63.0,206.0,603.0,34.2,397.0,6617.0,1627.0,24.6,2639.0,2747.0,1231.0,564.0,156.0,0.0,408.0,341.0,961.0,6.0,19686.0,2533.0,7431.0,9048.0,4402.0,596.0,17819.0,276.0,510.0,54.1,305.0,23.0,12328.0,63171.0,34695.0,1224.0,391.0,78.0,14229.0,11525.0,81.0,384.0,347.0,0.0,567.0,544.0,77.0,5.0,5.0,1.0,3239.0,479.0,596.0,44.6
Genoa,31.0,43.1,38.0,418.0,3420.0,37.0,26.0,4.0,5.0,95.0,7.0,0.97,0.68,1.66,0.87,1.55,43.6,39.8,27.1,1.15,0.71,1.86,1.05,1.76,38.0,38.0,3420.0,57.0,1.5,163.0,112.0,68.1,8.0,14.0,16.0,7.0,18.4,6.0,5.0,1.0,0.0,38.0,0.0,11.0,2.0,55.8,0.32,0.8,0.02,275.0,807.0,34.1,763.0,114.0,66.4,51.4,339.0,88.5,65.0,385.0,23.0,6.0,17.0,0.45,13.4,526.0,150.0,23.0,28.5,13.84,3.95,0.06,0.22,0.08,-6.6,-6.8,11178.0,15296.0,73.1,228852.0,87714.0,4358.0,5182.0,84.1,4764.0,5839.0,81.6,1905.0,3784.0,50.3,-1.1,365.0,986.0,330.0,96.0,1163.0,13370.0,1926.0,534.0,26.0,2735.0,467.0,538.0,186.0,17.0,35.0,11.0,8882.0,2147.0,4267.0,4115.0,8915.0,798.0,774.0,190.0,59.0,317.0,264.0,424.0,787.0,20.71,532.0,90.0,44.0,48.0,51.0,52.0,1.37,34.0,5.0,3.0,4.0,3.0,3.0,740.0,470.0,374.0,277.0,89.0,285.0,686.0,41.5,401.0,6258.0,1638.0,26.2,2100.0,2787.0,1371.0,541.0,126.0,3.0,415.0,342.0,965.0,7.0,19706.0,2176.0,6137.0,9100.0,5797.0,877.0,17817.0,363.0,577.0,62.9,392.0,22.0,12252.0,65286.0,35958.0,1411.0,517.0,117.0,13999.0,11178.0,79.8,386.0,386.0,2.0,563.0,483.0,67.0,4.0,4.0,2.0,3549.0,597.0,620.0,49.1
Inter,23.0,59.6,38.0,418.0,3420.0,57.0,36.0,8.0,9.0,73.0,3.0,1.5,0.95,2.45,1.29,2.24,64.1,57.2,44.1,1.69,1.16,2.85,1.51,2.67,38.0,38.0,3420.0,33.0,0.87,128.0,101.0,76.6,20.0,9.0,9.0,17.0,44.7,5.0,3.0,0.0,2.0,38.0,1.0,3.0,3.0,35.4,0.26,5.4,0.14,172.0,360.0,47.8,895.0,201.0,27.6,30.1,256.0,44.1,39.1,337.0,16.0,4.7,13.0,0.34,12.6,617.0,185.0,9.0,30.0,16.24,4.87,0.08,0.26,0.09,-7.1,-8.2,19563.0,23416.0,83.5,377107.0,119430.0,7869.0,8736.0,90.1,8683.0,9880.0,87.9,2777.0,4171.0,66.6,-8.1,471.0,1487.0,451.0,160.0,1596.0,21461.0,1955.0,533.0,37.0,3411.0,709.0,764.0,303.0,37.0,35.0,12.0,16678.0,2735.0,4003.0,6223.0,15039.0,779.0,793.0,305.0,50.0,347.0,321.0,483.0,978.0,25.74,768.0,77.0,36.0,48.0,33.0,91.0,2.39,65.0,3.0,6.0,8.0,6.0,3.0,640.0,401.0,284.0,254.0,102.0,232.0,664.0,34.9,432.0,5964.0,1644.0,27.6,1576.0,2635.0,1753.0,521.0,120.0,1.0,401.0,271.0,635.0,6.0,27443.0,2274.0,7584.0,13810.0,7807.0,1135.0,25587.0,351.0,552.0,63.6,366.0,15.0,19533.0,99283.0,54007.0,2226.0,694.0,185.0,22123.0,19563.0,88.4,437.0,381.0,2.0,472.0,499.0,67.0,5.0,3.0,2.0,3406.0,421.0,448.0,48.4
Juventus,31.0,56.2,38.0,418.0,3420.0,66.0,44.0,7.0,8.0,76.0,4.0,1.74,1.16,2.89,1.55,2.71,58.2,52.1,37.0,1.53,0.97,2.5,1.37,2.35,38.0,38.0,3420.0,30.0,0.79,107.0,79.0,73.8,28.0,6.0,4.0,16.0,42.1,4.0,2.0,1.0,1.0,38.0,1.0,4.0,1.0,32.7,0.28,3.7,0.1,201.0,392.0,51.3,713.0,165.0,36.6,35.7,279.0,47.0,42.5,305.0,24.0,7.9,23.0,0.61,14.3,599.0,193.0,28.0,32.2,15.76,5.08,0.1,0.31,0.09,7.8,6.9,18393.0,21842.0,84.2,371028.0,109670.0,7003.0,7778.0,90.0,8243.0,9197.0,89.6,2976.0,4328.0,68.8,7.0,453.0,1427.0,397.0,125.0,1431.0,20114.0,1728.0,481.0,48.0,3074.0,887.0,621.0,239.0,18.0,18.0,9.0,15403.0,2646.0,3793.0,7512.0,12329.0,740.0,662.0,283.0,64.0,318.0,349.0,404.0,969.0,25.5,712.0,80.0,46.0,57.0,53.0,99.0,2.61,64.0,5.0,1.0,16.0,8.0,5.0,583.0,383.0,270.0,227.0,86.0,213.0,577.0,36.9,364.0,5679.0,1494.0,26.3,1683.0,2559.0,1437.0,534.0,140.0,3.0,394.0,329.0,655.0,11.0,25889.0,2153.0,7122.0,13090.0,7438.0,1045.0,24208.0,444.0,774.0,57.4,475.0,20.0,18767.0,95840.0,51995.0,2268.0,682.0,189.0,20956.0,18393.0,87.8,414.0,350.0,2.0,473.0,476.0,76.0,5.0,4.0,1.0,3223.0,446.0,382.0,53.9
