player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,eng ENG,FW,Roma,24-094,1997,18.0,18.0,1505.0,6.0,3.0,0.0,0.0,5.0,0.0,0.36,0.18,0.54,0.36,0.54,9.3,9.3,2.5,0.56,0.15,0.71,0.56,0.71,16.7,47.0,15.0,2.0,31.9,2.81,0.9,0.13,0.4,0.2,-3.3,-3.3,251.0,339.0,74.0,3685.0,831.0,152.0,200.0,76.0,67.0,89.0,75.3,19.0,23.0,82.6,0.5,20.0,15.0,16.0,2.0,33.0,313.0,26.0,2.0,1.0,100.0,4.0,11.0,0.0,0.0,0.0,0.0,217.0,77.0,45.0,32.0,227.0,33.0,0.0,12.0,0.0,2.0,14.0,12.0,49.0,2.93,33.0,0.0,0.0,10.0,4.0,8.0,0.48,3.0,0.0,0.0,3.0,2.0,0.0,24.0,15.0,7.0,10.0,7.0,8.0,13.0,61.5,5.0,248.0,75.0,30.2,29.0,103.0,116.0,17.0,5.0,0.0,12.0,4.0,17.0,0.0,550.0,18.0,52.0,254.0,278.0,99.0,525.0,19.0,34.0,55.9,19.0,2.0,298.0,1395.0,763.0,49.0,17.0,14.0,692.0,389.0,56.2,42.0,19.0,0.0,26.0,24.0,12.0,0.0,0.0,0.0,52.0,44.0,45.0,49.4
Francesco Acerbi,it ITA,DF,Lazio,33-328,1988,17.0,17.0,1515.0,3.0,0.0,0.0,0.0,1.0,1.0,0.18,0.0,0.18,0.18,0.18,1.0,1.0,0.2,0.06,0.01,0.08,0.06,0.08,16.8,6.0,3.0,0.0,50.0,0.36,0.18,0.5,1.0,0.17,2.0,2.0,1130.0,1240.0,91.1,23674.0,7350.0,357.0,379.0,94.2,576.0,610.0,94.4,183.0,231.0,79.2,-0.2,4.0,85.0,4.0,0.0,65.0,1195.0,45.0,39.0,1.0,86.0,43.0,1.0,0.0,0.0,0.0,0.0,910.0,110.0,220.0,952.0,210.0,46.0,1.0,3.0,1.0,11.0,12.0,5.0,11.0,0.65,9.0,1.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,16.0,8.0,11.0,5.0,0.0,5.0,13.0,38.5,8.0,107.0,27.0,25.2,57.0,41.0,9.0,31.0,20.0,0.0,11.0,31.0,80.0,0.0,1403.0,196.0,729.0,728.0,41.0,9.0,1362.0,1.0,1.0,100.0,1.0,0.0,928.0,4937.0,2876.0,62.0,12.0,0.0,1025.0,1009.0,98.4,5.0,3.0,0.0,13.0,11.0,3.0,1.0,0.0,0.0,175.0,47.0,25.0,65.3
Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18-350,2003,5.0,0.0,166.0,2.0,0.0,0.0,0.0,3.0,1.0,1.08,0.0,1.08,1.08,1.08,1.0,1.0,0.1,0.57,0.06,0.63,0.57,0.63,1.8,8.0,4.0,0.0,50.0,4.34,2.17,0.25,0.5,0.13,1.0,1.0,30.0,41.0,73.2,449.0,92.0,16.0,20.0,80.0,10.0,15.0,66.7,2.0,2.0,100.0,-0.1,3.0,0.0,3.0,1.0,4.0,38.0,3.0,1.0,0.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,30.0,7.0,4.0,4.0,35.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,3.8,4.0,0.0,1.0,2.0,0.0,1.0,0.54,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,51.0,15.0,29.4,6.0,17.0,28.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,78.0,0.0,2.0,27.0,56.0,16.0,75.0,4.0,9.0,44.4,5.0,0.0,59.0,262.0,159.0,7.0,4.0,0.0,76.0,50.0,65.8,12.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,3.0,5.0,37.5
Kevin Agudelo,co COL,"FW,MF",Spezia,23-051,1998,5.0,1.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.05,0.14,0.19,0.05,0.19,2.1,3.0,1.0,0.0,33.3,1.41,0.47,0.0,0.0,0.04,-0.1,-0.1,47.0,69.0,68.1,737.0,250.0,23.0,28.0,82.1,21.0,28.0,75.0,1.0,4.0,25.0,-0.3,3.0,2.0,3.0,0.0,9.0,68.0,1.0,0.0,0.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,48.0,14.0,7.0,60.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,8.0,3.77,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,3.0,1.0,3.0,4.0,75.0,1.0,77.0,14.0,18.2,15.0,39.0,23.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,109.0,0.0,20.0,55.0,47.0,4.0,108.0,4.0,9.0,44.4,4.0,0.0,80.0,329.0,171.0,9.0,2.0,0.0,82.0,72.0,87.8,2.0,11.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,100.0
Ola Aina,ng NGA,DF,Torino,25-088,1996,16.0,13.0,1066.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.3,0.02,0.11,0.13,0.02,0.13,11.8,8.0,2.0,0.0,25.0,0.68,0.17,0.0,0.0,0.03,-0.3,-0.3,384.0,546.0,70.3,6900.0,3016.0,184.0,216.0,85.2,143.0,192.0,74.5,51.0,106.0,48.1,-1.3,13.0,34.0,18.0,5.0,49.0,446.0,100.0,6.0,2.0,68.0,5.0,27.0,0.0,0.0,0.0,0.0,289.0,100.0,157.0,122.0,295.0,22.0,94.0,3.0,2.0,9.0,17.0,30.0,26.0,2.2,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,9.0,11.0,3.0,11.0,18.0,61.1,7.0,125.0,46.0,36.8,42.0,52.0,31.0,20.0,3.0,0.0,17.0,27.0,24.0,0.0,719.0,39.0,167.0,343.0,262.0,24.0,624.0,14.0,28.0,50.0,15.0,2.0,392.0,2223.0,1334.0,61.0,24.0,10.0,474.0,403.0,85.0,19.0,14.0,0.0,17.0,24.0,0.0,0.0,0.0,0.0,102.0,14.0,18.0,43.8
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-085,1992,8.0,4.0,302.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.12,0.01,0.13,0.12,0.13,3.4,2.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,-0.4,-0.4,86.0,105.0,81.9,1172.0,177.0,51.0,60.0,85.0,28.0,31.0,90.3,2.0,2.0,100.0,0.0,2.0,5.0,1.0,0.0,3.0,104.0,1.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,21.0,4.0,18.0,75.0,5.0,0.0,2.0,0.0,2.0,4.0,4.0,2.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,5.0,8.0,1.0,3.0,10.0,30.0,7.0,101.0,28.0,27.7,23.0,54.0,24.0,4.0,2.0,0.0,2.0,3.0,3.0,0.0,156.0,7.0,37.0,91.0,38.0,1.0,156.0,6.0,10.0,60.0,7.0,0.0,110.0,389.0,187.0,3.0,2.0,0.0,123.0,100.0,81.3,4.0,5.0,0.0,13.0,10.0,0.0,0.0,1.0,0.0,22.0,6.0,7.0,46.2
Luis Alberto,es ESP,MF,Lazio,29-098,1992,17.0,12.0,1087.0,3.0,6.0,0.0,0.0,3.0,0.0,0.25,0.5,0.75,0.25,0.75,1.3,1.3,2.9,0.11,0.24,0.35,0.11,0.35,12.1,21.0,7.0,1.0,33.3,1.74,0.58,0.14,0.43,0.06,1.7,1.7,766.0,908.0,84.4,12980.0,4128.0,378.0,412.0,91.7,293.0,338.0,86.7,74.0,127.0,58.3,3.1,23.0,105.0,20.0,3.0,77.0,835.0,73.0,29.0,5.0,138.0,30.0,18.0,39.0,20.0,10.0,3.0,715.0,84.0,109.0,50.0,832.0,13.0,3.0,4.0,3.0,4.0,30.0,10.0,44.0,3.64,31.0,10.0,0.0,1.0,2.0,7.0,0.58,4.0,3.0,0.0,0.0,0.0,0.0,18.0,12.0,6.0,8.0,4.0,5.0,22.0,22.7,17.0,190.0,54.0,28.4,56.0,94.0,40.0,12.0,1.0,0.0,11.0,9.0,1.0,0.0,1007.0,7.0,156.0,581.0,348.0,18.0,937.0,10.0,16.0,62.5,11.0,2.0,765.0,3571.0,2077.0,83.0,42.0,4.0,863.0,795.0,92.1,7.0,14.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,94.0,7.0,4.0,63.6
Giorgio Altare,it ITA,DF,Cagliari,23-148,1998,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,57.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Kelvin Amian,fr FRA,DF,Spezia,23-330,1998,15.0,14.0,1162.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.08,0.08,0.0,0.08,0.7,0.7,0.7,0.06,0.06,0.12,0.06,0.12,12.9,10.0,2.0,0.0,20.0,0.77,0.15,0.0,0.0,0.07,-0.7,-0.7,461.0,571.0,80.7,7468.0,3222.0,244.0,265.0,92.1,172.0,211.0,81.5,33.0,65.0,50.8,0.3,7.0,27.0,4.0,2.0,29.0,452.0,119.0,14.0,0.0,95.0,7.0,13.0,0.0,0.0,0.0,0.0,360.0,137.0,74.0,52.0,391.0,19.0,105.0,1.0,2.0,11.0,19.0,15.0,14.0,1.08,12.0,0.0,0.0,2.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,21.0,9.0,3.0,8.0,14.0,57.1,6.0,197.0,63.0,32.0,101.0,73.0,23.0,24.0,9.0,0.0,15.0,25.0,38.0,0.0,715.0,57.0,313.0,316.0,123.0,15.0,600.0,8.0,13.0,61.5,8.0,0.0,378.0,1762.0,855.0,25.0,7.0,2.0,449.0,406.0,90.4,8.0,11.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,56.0,13.0,21.0,38.2
Ethan Ampadu,wls WAL,MF,Venezia,21-112,2000,12.0,10.0,830.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.22,0.22,0.0,0.22,0.1,0.1,1.0,0.01,0.1,0.11,0.01,0.11,9.2,1.0,1.0,0.0,100.0,0.11,0.11,0.0,0.0,0.08,-0.1,-0.1,334.0,415.0,80.5,6676.0,1920.0,112.0,132.0,84.8,168.0,187.0,89.8,51.0,81.0,63.0,1.0,10.0,27.0,3.0,1.0,31.0,392.0,23.0,14.0,1.0,55.0,10.0,6.0,0.0,0.0,0.0,0.0,300.0,53.0,62.0,61.0,322.0,13.0,9.0,4.0,2.0,8.0,11.0,11.0,18.0,1.95,18.0,0.0,0.0,0.0,0.0,3.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,31.0,18.0,14.0,13.0,4.0,5.0,15.0,33.3,10.0,168.0,42.0,25.0,77.0,76.0,15.0,18.0,3.0,0.0,15.0,18.0,17.0,0.0,511.0,36.0,198.0,268.0,74.0,3.0,491.0,4.0,7.0,57.1,4.0,0.0,309.0,1664.0,831.0,28.0,9.0,2.0,329.0,309.0,93.9,6.0,11.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0,86.0,13.0,11.0,54.2
